stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank,start_date2,SD_close2,end_date2,ED_close2,return2,avg_monthly_return,annualized_return
1314,2010-01-04,2010-12-31,7.15,16.28,201001-201101,1.27692308,44.365992290237614,winner,4.0,2011-01-10,16.22,2011-04-07,21.09,0.3002466091245377,0.09146189086269096,1.8582678177392795
1319,2010-01-04,2010-12-31,31.61,24.17,201001-201101,-0.23536855,6.320664766217867,loser,133.0,2011-01-10,23.33,2011-04-07,23.67,0.014573510501500362,0.00483442748184415,0.05958079127319493
1704,2010-01-04,2010-12-31,24.92,41.81,201001-201101,0.67776886,29.292829095319597,winner,12.0,2011-01-10,43.49,2011-04-07,62.39,0.43458266268107604,0.12782536914646236,3.235476845275694
2103,2010-01-04,2010-12-31,15.92,28.91,201001-201101,0.81595477,32.76922749683341,winner,8.0,2011-01-10,32.33,2011-04-07,36.19,0.11939375193318898,0.0383114091995167,0.5701151856942297
2227,2010-01-04,2010-12-31,31.56,59.7,201001-201101,0.89163498,34.67314491555019,winner,6.0,2011-01-10,57.78,2011-04-07,49.25,-0.14762893734856353,-0.051851783542059215,-0.47214481814160025
2384,2010-01-04,2010-12-31,25.94,44.35,201001-201101,0.70971473,30.09650416901537,winner,11.0,2011-01-10,44.26,2011-04-07,48.24,0.08992318120198835,0.02911828940191774,0.4111837217801211
2393,2010-01-04,2010-12-31,52.35,39.26,201001-201101,-0.25004776,5.951373988457053,loser,136.0,2011-01-10,39.54,2011-04-07,39.31,-0.005816894284269016,-0.0019427365425884746,-0.02306534572526664
2409,2010-01-04,2010-12-31,27.18,20.64,201001-201101,-0.2406181,6.188599729857308,loser,134.0,2011-01-10,19.76,2011-04-07,17.44,-0.1174089068825911,-0.040776418747696885,-0.3932103542544988
2451,2010-01-04,2010-12-31,45.41,32.14,201001-201101,-0.29222638,4.8902695158949925,loser,139.0,2011-01-10,33.32,2011-04-07,34.22,0.02701080432172865,0.008923731580788186,0.11250007743374368
2458,2010-01-04,2010-12-31,40.07,28.5,201001-201101,-0.2887447,4.977859537096014,loser,138.0,2011-01-10,29.2,2011-04-07,27.66,-0.05273972602739723,-0.017898348297068933,-0.1948490729758141
2498,2010-01-04,2010-12-31,264.76,717.19,201001-201101,1.70883064,55.23166413178593,winner,1.0,2011-01-10,709.22,2011-04-07,956.26,0.34832633033473387,0.10475253095724657,2.3050654354762448
2603,2010-01-04,2010-12-31,15.7,26.2,201001-201101,0.66878981,29.066939530550563,winner,13.0,2011-01-10,26.07,2011-04-07,22.35,-0.14269275028768696,-0.0500250238494262,-0.4598106904088447
2609,2010-01-04,2010-12-31,13.05,30.09,201001-201101,1.30574713,45.09113048518929,winner,3.0,2011-01-10,31.75,2011-04-07,25.73,-0.18960629921259842,-0.06767924552996818,-0.5686952646674089
2610,2010-01-04,2010-12-31,9.18,20.87,201001-201101,1.27342048,44.27787597619994,winner,5.0,2011-01-10,19.69,2011-04-07,14.68,-0.2544438801422042,-0.09323771859478147,-0.6910264108854869
2618,2010-01-04,2010-12-31,8.13,21.36,201001-201101,1.62730627,53.18072283428014,winner,2.0,2011-01-10,20.14,2011-04-07,14.31,-0.2894736842105263,-0.10766747611149563,-0.7451288549044282
2801,2010-01-04,2010-12-31,6.58,11.42,201001-201101,0.73556231,30.746762113512027,winner,10.0,2011-01-10,10.8,2011-04-07,10.74,-0.005555555555555601,-0.0018552918309249211,-0.02203772195549447
2834,2010-01-04,2010-12-31,3.67,6.09,201001-201101,0.65940054,28.830729896591635,winner,14.0,2011-01-10,5.95,2011-04-07,5.47,-0.0806722689075631,-0.02764813050296422,-0.28569869688230976
2912,2010-01-04,2010-12-31,47.57,87.13,201001-201101,0.83161657,33.16323768560612,winner,7.0,2011-01-10,82.6,2011-04-07,86.16,0.04309927360774821,0.014164834639418755,0.18386606499840696
3008,2010-01-04,2010-12-31,290.98,515.53,201001-201101,0.77170252,31.655955882069,winner,9.0,2011-01-10,558.19,2011-04-07,602.28,0.0789874415521595,0.02566482875009668,0.3553940026882889
3041,2010-01-04,2010-12-31,172.56,101.66,201001-201101,-0.41087158,1.9054645989010208,loser,144.0,2011-01-10,104.78,2011-04-07,84.98,-0.18896736018324103,-0.06743428655472194,-0.5673334401100106
3059,2010-01-04,2010-12-31,47.56,35.11,201001-201101,-0.2617746,5.656357167778244,loser,137.0,2011-01-10,35.11,2011-04-07,31.58,-0.1005411563657078,-0.03470416557267142,-0.3454765892808067
3376,2010-01-04,2010-12-31,75.73,42.07,201001-201101,-0.44447379,1.0601203150204768,loser,145.0,2011-01-10,42.02,2011-04-07,41.05,-0.023084245597334744,-0.00775472890720752,-0.08918860880920787
3443,2010-01-04,2010-12-31,113.16,85.64,201001-201101,-0.24319548,6.123759546714948,loser,135.0,2011-01-10,82.13,2011-04-07,66.34,-0.192256179228053,-0.06869654358837829,-0.5743088931141748
3474,2010-01-04,2010-12-31,25.82,13.95,201001-201101,-0.45972115,0.6765363596714417,loser,146.0,2011-01-10,16.15,2011-04-07,15.15,-0.061919504643962744,-0.021081125832820513,-0.22560877222448417
3504,2010-01-04,2010-12-31,226.39,149.97,201001-201101,-0.33755908,3.7498165868206383,loser,143.0,2011-01-10,151.22,2011-04-07,104.56,-0.3085570691707446,-0.1157288685672101,-0.7714267710665214
3532,2010-01-04,2010-12-31,128.6,85.98,201001-201101,-0.33141524,3.904379635652148,loser,142.0,2011-01-10,84.05,2011-04-07,111.82,0.3303985722784057,0.09983429247060727,2.1327596799375286
6116,2010-01-04,2010-12-31,11.72,8.09,201001-201101,-0.30972696,4.450000400631617,loser,140.0,2011-01-10,7.78,2011-04-07,7.39,-0.05012853470437025,-0.01699676485165935,-0.18593447031457067
8078,2010-01-04,2010-12-31,40.14,27.58,201001-201101,-0.31290483,4.370053449540736,loser,141.0,2011-01-10,25.33,2011-04-07,25.81,0.01894986182392422,0.006277135730192951,0.07798137919948944
1314,2010-02-01,2011-01-28,6.51,18.61,201002-201102,1.858678955453149,59.185222533734624,winner,2.0,2011-02-08,19.91,2011-05-05,19.74,-0.008538422903063872,-0.002854280131564746,-0.033718748266603704
1319,2010-02-01,2011-01-28,25.89,21.64,201002-201102,-0.164156044804944,3.861235773827324,loser,136.0,2011-02-08,20.69,2011-05-05,22.82,0.10294828419526336,0.033201551853043076,0.4798598845691986
1704,2010-02-01,2011-01-28,24.27,52.35,201002-201102,1.1569839307787393,39.99405456915681,winner,5.0,2011-02-08,51.71,2011-05-05,55.65,0.07619415973699473,0.02477898379208776,0.341413039236236
