combination,remark,count,mean_avg_monthly_return,std_avg_monthly_return
201001-201004,loser,14,0.005574552820404957,0.020478916628302955
201001-201004,winner,14,0.012079823701339528,0.04497801420277748
201002-201005,loser,14,0.010363354291461494,0.024294085106672882
201002-201005,winner,14,0.03572613599115299,0.035948389947922765
201003-201006,loser,14,0.004692815226180864,0.0195083784344382
201003-201006,winner,14,0.034374206929627144,0.03646281233515002
201004-201007,loser,14,0.002417706600257436,0.023596207169888365
201004-201007,winner,14,0.030012195847675432,0.03801254008117191
201005-201008,loser,14,-0.006990069710295579,0.03684128253897299
201005-201008,winner,14,0.021537647640836537,0.02576153019640058
201006-201009,loser,14,0.011729716880173421,0.027925392060602707
201006-201009,winner,14,0.014533648608564879,0.03345040267920448
201007-201010,loser,14,-0.012120937092783128,0.03553038714067845
201007-201010,winner,14,0.0020349338036425063,0.030917421219897958
201008-201011,loser,14,-0.024814578534175756,0.03397874138240603
201008-201011,winner,14,0.005613485107015357,0.03190983845078085
201009-201012,loser,13,-0.028731765817845957,0.042500747673962475
201009-201012,winner,14,0.005230210414717386,0.04351619915904678
201010-201101,loser,14,-0.05715835988593271,0.0438185067255321
201010-201101,winner,14,-0.027781188429692356,0.03080043851041621
201011-201102,loser,14,-0.03238051719274459,0.046021340341930936
201011-201102,winner,14,-0.011036392285658633,0.03484001705590481
201012-201103,loser,14,-0.03701276385582423,0.027298749402494576
201012-201103,winner,14,-0.03223775553817003,0.03961406443759298
201101-201104,loser,14,-0.03629236143325939,0.025213543908750448
201101-201104,winner,14,-0.03434850094689934,0.03688296860604999
201102-201105,loser,14,-0.043630554339424206,0.049201343846992714
201102-201105,winner,14,-0.020366181770646665,0.03636244805493938
201103-201106,loser,14,-0.04217202873892491,0.0333932498664975
201103-201106,winner,14,-0.0010974165129895642,0.018380231448248654
201104-201107,loser,14,-0.0392251083059955,0.0294147328305546
201104-201107,winner,14,0.00796521972290182,0.03789030958662255
201105-201108,loser,14,-0.03157293265540254,0.03554753458790957
201105-201108,winner,14,-0.02425758418184674,0.031408213913471004
201106-201109,loser,14,-0.025748268058484985,0.026401490026527648
201106-201109,winner,14,-0.0123476907084636,0.025152422056097218
201107-201110,loser,14,-0.008741693786493901,0.026864460685023087
201107-201110,winner,14,0.006118902232810385,0.022617835932954012
201108-201111,loser,14,-0.019258693685265955,0.03842740940292056
201108-201111,winner,14,0.010366543280641393,0.023719717485444106
201109-201112,loser,14,0.0061260385774481434,0.0292456828576057
201109-201112,winner,14,0.014836025101524692,0.01712679701429439
201110-201201,loser,14,0.009017960994151567,0.034758721805675886
201110-201201,winner,14,0.019307671471885314,0.02793572824708724
201111-201202,loser,14,-0.01814062555967602,0.03843713993985732
201111-201202,winner,14,-0.025717274511012543,0.033105758028160896
201112-201203,loser,13,-0.008344030326282484,0.019136814115850876
201112-201203,winner,14,-0.02477660286167407,0.026147861023586346
201201-201204,loser,14,0.0012821749784432924,0.019295734942655945
201201-201204,winner,14,-0.0074137064052180734,0.035530068212947664
201202-201205,loser,14,-0.00508450664144535,0.02627300998014372
201202-201205,winner,14,0.008137288043981006,0.03171865465289961
201203-201206,loser,14,1.8476468590357892e-05,0.026390856642548182
201203-201206,winner,14,0.024143045908809564,0.024241034794622213
201204-201207,loser,14,0.004418109219754235,0.026246462905542563
201204-201207,winner,14,0.024372882083097763,0.02786731288930516
201205-201208,loser,14,0.018516916550666777,0.037281827760042074
201205-201208,winner,14,0.03292088400015073,0.022444244711725226
201206-201209,loser,14,0.020136926153683368,0.055534760171347515
201206-201209,winner,14,0.011639718173943143,0.018249085785611695
201207-201210,loser,14,0.0046433638610494645,0.04416183995842858
201207-201210,winner,14,0.001018043537987336,0.02017226145788731
201208-201211,loser,14,0.027271814146921508,0.04556050662362
201208-201211,winner,14,0.004657460556922336,0.021355195495308982
201209-201212,loser,14,0.0079866151397743,0.036229581151150804
201209-201212,winner,14,0.006806453990087293,0.0230437611581724
201210-201301,loser,14,0.016451789167688986,0.049773090861492585
201210-201301,winner,14,0.009894638756073536,0.040517267381185475
201211-201302,loser,14,-0.0023989398733870637,0.021257895544898195
201211-201302,winner,14,-0.0010884804088320788,0.047728208668206575
201212-201303,loser,14,0.007851175440413364,0.01743879375523946
201212-201303,winner,13,0.010628246267187539,0.05483523324347783
201301-201304,loser,14,0.013462492993652006,0.01781005695711687
201301-201304,winner,13,0.023459269193448148,0.032292956274437255
201302-201305,loser,14,0.007975757072956615,0.014726546988147363
201302-201305,winner,14,0.007711971762608044,0.039804929514026074
201303-201306,loser,14,0.012415427494801536,0.01949950051689318
201303-201306,winner,14,0.020979750039341157,0.032740485348701345
201304-201307,loser,14,0.0037806250700787576,0.04423028095024281
201304-201307,winner,14,0.011471485490450387,0.029698585039152167
201305-201308,loser,14,0.011509341959616264,0.0322215251956323
201305-201308,winner,14,0.006647811453433365,0.02647128674180173
201306-201309,loser,14,0.01557372347281897,0.034046141019916557
201306-201309,winner,14,0.004478999784164501,0.01989335281571148
201307-201310,loser,14,0.01690503608389845,0.020045228556312765
201307-201310,winner,13,0.005970747091903116,0.02151358893024987
201308-201311,loser,14,0.007165456128254978,0.023342585981613068
201308-201311,winner,13,0.0039282369402762075,0.027361295671482003
201309-201312,loser,14,0.0260284700290806,0.02456563800416441
201309-201312,winner,12,0.0010440442949585587,0.03605923091175699
201310-201401,loser,14,0.008809524623851801,0.023107255659807823
201310-201401,winner,13,0.012528709659007138,0.032608803109834404
201311-201402,loser,14,0.0036993436867065925,0.029850677169526864
201311-201402,winner,14,0.014140962652314378,0.0345199208752674
201312-201403,loser,14,0.005480901575897394,0.01783367300962268
201312-201403,winner,14,0.006213983392308851,0.036219919129516887
201401-201404,loser,14,-0.00913281892660601,0.024445056075405577
201401-201404,winner,14,0.011132857960482342,0.028425226227907722
201402-201405,loser,14,-0.00160641984579395,0.023530895140358252
201402-201405,winner,14,0.018265487828469366,0.028086757029403685
201403-201406,loser,14,-0.007191335550534571,0.02665430618810713
201403-201406,winner,14,0.003558366692771935,0.022642193830349804
201404-201407,loser,14,-0.012079018483341992,0.019244905080025645
201404-201407,winner,14,0.0008293070761416644,0.026118269398372338
201405-201408,loser,14,-0.008446811669817693,0.010249772182989406
201405-201408,winner,14,0.007852164986060879,0.025373242922400615
201406-201409,loser,14,-0.010520557312305872,0.02865956616292054
201406-201409,winner,14,0.003483121033051708,0.022762364655275463
201407-201410,loser,14,-0.021223229705650316,0.022648319070140293
201407-201410,winner,14,-0.008471332340554256,0.028295437234359976
201408-201411,loser,14,-0.03780708421366246,0.03741489605435892
201408-201411,winner,14,-0.0003560835861926359,0.025838120230083902
201409-201412,loser,14,-0.0242544484587738,0.024437492976425692
201409-201412,winner,14,-0.0006488411441682217,0.026149529966872496
201410-201501,loser,14,-0.021227636045438807,0.0377037920511188
201410-201501,winner,14,-0.031056903078275976,0.031745717807581585
201411-201502,loser,14,-0.009826342611958213,0.019117078072088695
201411-201502,winner,14,-0.018009629578157643,0.030529439951596654
201412-201503,loser,14,-0.027054270852867265,0.023299831182161158
201412-201503,winner,14,-0.03168296400199745,0.03451431706141412
201501-201504,loser,14,-0.02758015847078924,0.03269028443945236
201501-201504,winner,14,-0.019452856780958316,0.02355959345742903
201502-201505,loser,14,-0.045560052398950765,0.028134415880323643
201502-201505,winner,14,-0.032505100934041464,0.02806135780291952
201503-201506,loser,14,-0.026774565176164257,0.022388255106219696
201503-201506,winner,14,-0.02007412531190463,0.024993669295160025
201504-201507,loser,14,-0.008570074191888485,0.021933282768045004
201504-201507,winner,13,-0.015315437634137194,0.02371086550147852
201505-201508,loser,14,0.0079630272504967,0.03500265238268029
201505-201508,winner,12,0.0001076762425010676,0.027249090529323273
201506-201509,loser,14,0.011438264215958694,0.031086436662864755
201506-201509,winner,14,-0.0100728987183851,0.02123817984268821
201507-201510,loser,14,0.012349649558661366,0.02079058172482296
201507-201510,winner,13,-0.014008429588200191,0.024404012913941925
