combination,remark,count,mean_return2
201001-201101,loser,88,-0.13279157231420932
201001-201101,winner,88,-0.007706253046350268
201001-201101,winner - loser,-,0.12508531926785904
201002-201102,loser,83,-0.16162395427950868
201002-201102,winner,83,-0.007364200052033165
201002-201102,winner - loser,-,0.1542597542274755
201003-201103,loser,88,-0.30673877615071327
201003-201103,winner,88,-0.10568307474313293
201003-201103,winner - loser,-,0.20105570140758033
201004-201104,loser,94,-0.28593148283021164
201004-201104,winner,94,-0.2194398134613671
201004-201104,winner - loser,-,0.06649166936884454
201005-201105,loser,88,-0.2625877662214703
201005-201105,winner,91,-0.17074514826293735
201005-201105,winner - loser,-,0.09184261795853293
201006-201106,loser,88,-0.280767575213043
201006-201106,winner,89,-0.29852748922408107
201006-201106,winner - loser,-,-0.017759914011038047
201007-201107,loser,89,-0.3181901289790148
201007-201107,winner,92,-0.24703908344181927
201007-201107,winner - loser,-,0.0711510455371955
201008-201108,loser,96,-0.2169814975990126
201008-201108,winner,96,-0.22331699302309807
201008-201108,winner - loser,-,-0.006335495424085458
201009-201109,loser,97,0.133596921994894
201009-201109,winner,96,0.013658052731543613
201009-201109,winner - loser,-,-0.1199388692633504
201010-201110,loser,97,0.15149079977401073
201010-201110,winner,97,0.1415181154389578
201010-201110,winner - loser,-,-0.00997268433505294
201011-201111,loser,95,-0.0004491792617967002
201011-201111,winner,95,0.01680803510555083
201011-201111,winner - loser,-,0.01725721436734753
201012-201112,loser,99,0.14657988727034232
201012-201112,winner,99,0.08867453870756856
201012-201112,winner - loser,-,-0.05790534856277377
201101-201201,loser,108,0.11780152197372017
201101-201201,winner,108,0.1363761300739056
201101-201201,winner - loser,-,0.018574608100185422
201102-201202,loser,107,-0.12378436212561299
201102-201202,winner,106,0.04432357231483739
201102-201202,winner - loser,-,0.16810793444045039
201103-201203,loser,105,-0.2666147828620567
201103-201203,winner,105,-0.04255361397962011
201103-201203,winner - loser,-,0.2240611688824366
201104-201204,loser,108,-0.12672983633635757
201104-201204,winner,108,-0.01752476298995033
201104-201204,winner - loser,-,0.10920507334640724
201105-201205,loser,107,-0.15417381641485156
201105-201205,winner,107,-0.04142742706934639
201105-201205,winner - loser,-,0.11274638934550517
