combination,remark,count,mean_avg_monthly_return
201001-201101,loser,14,-0.021403660441804844
201001-201101,winner,14,-0.02095511880384187
201002-201102,loser,14,-0.04024528447039786
201002-201102,winner,14,-0.006579336339067654
201003-201103,loser,14,-0.012815189236224942
201003-201103,winner,14,0.01499309976699845
201004-201104,loser,14,-0.05375464373908626
201004-201104,winner,14,-0.00803760169298094
201005-201105,loser,14,-0.058644765784291335
201005-201105,winner,14,0.022064311078261487
201006-201106,loser,14,-0.10903727960116284
201006-201106,winner,14,-0.0145268644032266
201007-201107,loser,14,-0.08334818009779633
201007-201107,winner,14,-0.05857578188785103
201008-201108,loser,14,-0.07316339580886108
201008-201108,winner,14,-0.07163481134283588
201009-201109,loser,14,-0.08764518712933064
201009-201109,winner,13,-0.06340595367714125
201010-201110,loser,14,-0.04075948403294622
201010-201110,winner,13,-0.008076822634843755
201011-201111,loser,14,0.010279755356345264
201011-201111,winner,14,-0.014422294127566413
201012-201112,loser,14,0.12284015974310504
201012-201112,winner,14,0.02900081679352109
201101-201201,loser,14,0.07670133198635982
201101-201201,winner,14,0.04907255940709167
201102-201202,loser,14,-0.02563185760949403
201102-201202,winner,14,0.01467571829889516
201103-201203,loser,14,-0.09427359047086505
201103-201203,winner,14,-0.00907455809002591
201104-201204,loser,14,-0.06673529697467279
201104-201204,winner,14,-0.004738114811416941
201105-201205,loser,14,-0.043299841200056935
201105-201205,winner,14,0.01239669572246924
201106-201206,loser,14,-0.028220701099931182
201106-201206,winner,14,0.03738125160664296
201107-201207,loser,14,0.0032240326193619462
201107-201207,winner,14,0.042152143336945766
201108-201208,loser,14,-0.036400398083027544
201108-201208,winner,14,0.012284329379494483
201109-201209,loser,14,-0.015832769015059398
201109-201209,winner,14,0.006513779909270061
201110-201210,loser,14,-0.022118344141847483
201110-201210,winner,14,0.0035789426720785255
201111-201211,loser,14,0.05785809299556494
201111-201211,winner,14,0.02493568016608011
201112-201212,loser,14,0.04621073077111967
201112-201212,winner,14,0.018204747447166818
201201-201301,loser,14,0.027283517747655313
201201-201301,winner,14,0.028390811438629333
201202-201302,loser,14,0.0029565679546139805
201202-201302,winner,14,0.027363910317961444
201203-201303,loser,14,0.006150918810072078
201203-201303,winner,14,0.03961696840358536
201204-201304,loser,14,-0.013358472172102382
201204-201304,winner,14,0.0059263408621587155
201205-201305,loser,14,-0.012834820185043536
201205-201305,winner,14,0.0020725352903954164
201206-201306,loser,14,-0.013893482141548714
201206-201306,winner,14,-0.026969443521256013
201207-201307,loser,14,0.014571786200159888
201207-201307,winner,14,0.010460884375130637
201208-201308,loser,14,0.014645023871412477
201208-201308,winner,14,0.027010754602061537
201209-201309,loser,14,-0.039545745869788644
201209-201309,winner,14,0.03030289757833601
201210-201310,loser,14,-0.042021093727283576
201210-201310,winner,14,0.02220060372928258
201211-201311,loser,14,-0.00515716760593501
201211-201311,winner,14,0.010767851409497733
201212-201312,loser,14,0.0034301411883435684
201212-201312,winner,14,0.0108290530024199
201301-201401,loser,14,0.00520335318859344
201301-201401,winner,13,0.0033955643655122236
201302-201402,loser,14,0.024277315402875255
201302-201402,winner,13,0.016973027973651352
