combination,remark,count,mean_return2
201001-201101,loser,14,-0.2850998761710427
201001-201101,winner,14,-0.2006266578317406
201001-201101,winner - loser,-,0.0844732183393021
201002-201102,loser,14,-0.3456636707388891
201002-201102,winner,14,-0.16241860201282934
201002-201102,winner - loser,-,0.18324506872605975
201003-201103,loser,14,-0.3857585248919066
201003-201103,winner,14,-0.2398388474018204
201003-201103,winner - loser,-,0.1459196774900862
201004-201104,loser,14,-0.39720359229851354
201004-201104,winner,14,-0.22426287509142867
201004-201104,winner - loser,-,0.17294071720708487
201005-201105,loser,14,-0.2900810519139732
201005-201105,winner,14,-0.16252189341447743
201005-201105,winner - loser,-,0.12755915849949578
201006-201106,loser,14,-0.1789167672920744
201006-201106,winner,14,-0.11178469912669607
201006-201106,winner - loser,-,0.06713206816537833
201007-201107,loser,14,-0.12675442306937695
201007-201107,winner,14,-0.15542355498922594
201007-201107,winner - loser,-,-0.02866913191984899
201008-201108,loser,14,-0.17934783002230267
201008-201108,winner,14,-0.2711717868726047
201008-201108,winner - loser,-,-0.09182395685030201
201009-201109,loser,14,-0.09709346548002472
201009-201109,winner,13,-0.1014276277758605
201009-201109,winner - loser,-,-0.004334162295835775
201010-201110,loser,14,-0.06384248860545345
201010-201110,winner,13,0.047706016702745484
201010-201110,winner - loser,-,0.11154850530819893
201011-201111,loser,14,-0.13519191746180634
201011-201111,winner,14,-0.05371147559649155
201011-201111,winner - loser,-,0.08148044186531478
201012-201112,loser,14,-0.058058082212556004
201012-201112,winner,14,0.07562916038855338
201012-201112,winner - loser,-,0.1336872426011094
201101-201201,loser,14,-0.005974286318556542
201101-201201,winner,14,0.23540324630043624
201101-201201,winner - loser,-,0.24137753261899278
201102-201202,loser,14,-0.3380334099943412
201102-201202,winner,14,0.11233018417593117
201102-201202,winner - loser,-,0.4503635941702724
201103-201203,loser,14,-0.34832043044350414
201103-201203,winner,14,0.04049413759100538
201103-201203,winner - loser,-,0.38881456803450953
201104-201204,loser,14,-0.23868633988831708
201104-201204,winner,14,0.005857220950835028
201104-201204,winner - loser,-,0.2445435608391521
201105-201205,loser,14,0.009871795207504263
201105-201205,winner,14,0.08033015684937007
201105-201205,winner - loser,-,0.07045836164186581
201106-201206,loser,14,0.07584722721044546
201106-201206,winner,14,0.19137844625700967
201106-201206,winner - loser,-,0.11553121904656422
201107-201207,loser,14,0.015380639846380526
201107-201207,winner,14,0.1813457880980359
201107-201207,winner - loser,-,0.16596514825165537
201108-201208,loser,14,0.29134497048273783
201108-201208,winner,14,0.22580149373671923
201108-201208,winner - loser,-,-0.0655434767460186
201109-201209,loser,14,0.017418189758686236
201109-201209,winner,14,0.181493359040636
201109-201209,winner - loser,-,0.16407516928194976
201110-201210,loser,14,0.12580151228672634
201110-201210,winner,14,0.08694712580560196
201110-201210,winner - loser,-,-0.03885438648112438
201111-201211,loser,14,0.14533366202066203
201111-201211,winner,14,0.2113386834250588
201111-201211,winner - loser,-,0.06600502140439676
201112-201212,loser,14,0.31023318751934736
201112-201212,winner,14,0.13858836288148826
201112-201212,winner - loser,-,-0.1716448246378591
201201-201301,loser,14,0.25342812554009436
201201-201301,winner,14,0.14191981209315424
201201-201301,winner - loser,-,-0.11150831344694012
201202-201302,loser,14,0.0035717810047912984
201202-201302,winner,14,0.14255751211506149
201202-201302,winner - loser,-,0.13898573111027018
201203-201303,loser,14,-0.1070994078046615
201203-201303,winner,14,0.13532212445187722
201203-201303,winner - loser,-,0.24242153225653873
201204-201304,loser,14,-0.025087713378493002
201204-201304,winner,14,0.14274573500249263
201204-201304,winner - loser,-,0.16783344838098563
201205-201305,loser,14,0.008972852924082734
201205-201305,winner,14,0.14796147597927042
201205-201305,winner - loser,-,0.1389886230551877
201206-201306,loser,14,-0.03595422711917394
201206-201306,winner,14,0.08406763862957176
201206-201306,winner - loser,-,0.1200218657487457
201207-201307,loser,14,0.08105539166048015
201207-201307,winner,14,0.2201511107903699
201207-201307,winner - loser,-,0.13909571912988974
201208-201308,loser,14,0.06732653409827125
201208-201308,winner,14,0.26416244676638995
201208-201308,winner - loser,-,0.1968359126681187
201209-201309,loser,14,-0.002190224706664499
201209-201309,winner,14,0.42717353653920276
201209-201309,winner - loser,-,0.4293637612458673
201210-201310,loser,14,0.002987786855994025
201210-201310,winner,14,0.25802930662559154
201210-201310,winner - loser,-,0.2550415197695975
201211-201311,loser,14,0.08893289702592279
201211-201311,winner,14,0.15591736309563703
201211-201311,winner - loser,-,0.06698446606971424
201212-201312,loser,14,0.1266079008709007
201212-201312,winner,14,0.10125350244501133
201212-201312,winner - loser,-,-0.02535439842588938
201301-201401,loser,14,0.014953113370863053
201301-201401,winner,13,-0.04359589178647404
201301-201401,winner - loser,-,-0.058549005157337096
201302-201402,loser,14,0.0847261758090259
201302-201402,winner,13,0.04086926375144658
201302-201402,winner - loser,-,-0.04385691205757932
201303-201403,loser,13,0.011132717506831676
201303-201403,winner,14,0.05484195745250266
201303-201403,winner - loser,-,0.04370923994567098
201304-201404,loser,13,0.11135533537660255
201304-201404,winner,14,0.10174919837971139
201304-201404,winner - loser,-,-0.009606136996891168
201305-201405,loser,13,0.12925262732404408
201305-201405,winner,14,0.03969510712176355
201305-201405,winner - loser,-,-0.08955752020228053
