stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank,start_date2,SD_close2,end_date2,ED_close2,return2
1314,2010-01-04,2010-06-30,7.15,9.18,201001-201007,0.28391608,23.573777411039902,winner,6.0,2010-07-01,9.29,2010-09-30,12.56,0.35199138858988177
1802,2010-01-04,2010-06-30,17.97,20.45,201001-201007,0.13800779,19.280054216372587,winner,13.0,2010-07-01,19.59,2010-09-30,22.71,0.15926493108728948
2337,2010-01-04,2010-06-30,25.17,29.86,201001-201007,0.18633294,20.702144883330426,winner,10.0,2010-07-01,28.87,2010-09-30,28.2,-0.023207481815032963
2362,2010-01-04,2010-06-30,28.41,36.69,201001-201007,0.29144667,23.795384209067144,winner,5.0,2010-07-01,35.19,2010-09-30,39.34,0.11793123046319995
2392,2010-01-04,2010-06-30,36.03,25.39,201001-201007,-0.29530946,6.528590081096554,loser,139.0,2010-07-01,25.39,2010-09-30,29.72,0.17053958251280024
2393,2010-01-04,2010-06-30,52.35,36.89,201001-201007,-0.29531996,6.528281091843484,loser,140.0,2010-07-01,36.58,2010-09-30,40.89,0.11782394751230187
2448,2010-01-04,2010-06-30,97.93,70.01,201001-201007,-0.2851016,6.828982370320948,loser,134.0,2010-07-01,68.51,2010-09-30,84.04,0.2266822361699022
2451,2010-01-04,2010-06-30,45.41,32.39,201001-201007,-0.28672099,6.781327693508464,loser,136.0,2010-07-01,32.39,2010-09-30,32.75,0.011114541525162069
2498,2010-01-04,2010-06-30,264.76,311.48,201001-201007,0.1764617,20.41165849528402,winner,11.0,2010-07-01,317.28,2010-09-30,564.99,0.780729954614221
2609,2010-01-04,2010-06-30,13.05,17.52,201001-201007,0.34252874,25.29860427141329,winner,4.0,2010-07-01,18.69,2010-09-30,21.36,0.14285714285714274
2610,2010-01-04,2010-06-30,9.18,13.35,201001-201007,0.45424837,28.586239035898913,winner,2.0,2010-07-01,13.91,2010-09-30,18.2,0.30841121495327095
2615,2010-01-04,2010-06-30,6.8,7.78,201001-201007,0.14411765,19.45985241425545,winner,12.0,2010-07-01,7.76,2010-09-30,8.5,0.09536082474226808
2618,2010-01-04,2010-06-30,8.13,11.03,201001-201007,0.35670357,25.715734760376364,winner,3.0,2010-07-01,11.44,2010-09-30,15.79,0.3802447552447552
2855,2010-01-04,2010-06-30,8.97,6.39,201001-201007,-0.28762542,6.754712536350819,loser,137.0,2010-07-01,6.35,2010-09-30,7.76,0.22204724409448823
2912,2010-01-04,2010-06-30,47.57,59.52,201001-201007,0.25120875,22.61128089040603,winner,7.0,2010-07-01,57.58,2010-09-30,87.13,0.5131990274400833
2915,2010-01-04,2010-06-30,37.16,58.17,201001-201007,0.5653929,31.856950017580605,winner,1.0,2010-07-01,55.77,2010-09-30,60.0,0.07584722969338348
3008,2010-01-04,2010-06-30,290.98,360.93,201001-201007,0.24039453,22.29304491322999,winner,8.0,2010-07-01,365.82,2010-09-30,423.09,0.15655240282105948
3041,2010-01-04,2010-06-30,172.56,115.34,201001-201007,-0.33159481,5.460801205484199,loser,143.0,2010-07-01,116.03,2010-09-30,115.37,-0.005688184090321439
3044,2010-01-04,2010-06-30,46.08,52.17,201001-201007,0.13216146,19.108011060190858,winner,14.0,2010-07-01,51.51,2010-09-30,53.11,0.031061929722384033
3059,2010-01-04,2010-06-30,47.56,31.16,201001-201007,-0.34482759,5.071392938031199,loser,145.0,2010-07-01,31.31,2010-09-30,36.82,0.17598211434046637
3376,2010-01-04,2010-06-30,75.73,47.33,201001-201007,-0.37501651,4.183007048333252,loser,146.0,2010-07-01,47.42,2010-09-30,46.91,-0.01075495571488834
3443,2010-01-04,2010-06-30,113.16,80.73,201001-201007,-0.28658537,6.785318657556227,loser,135.0,2010-07-01,80.73,2010-09-30,77.92,-0.034807382633469615
3474,2010-01-04,2010-06-30,25.82,18.05,201001-201007,-0.30092951,6.363205790456249,loser,141.0,2010-07-01,17.7,2010-09-30,17.5,-0.011299435028248548
3481,2010-01-04,2010-06-30,37.59,24.76,201001-201007,-0.34131418,5.174783979139117,loser,144.0,2010-07-01,24.21,2010-09-30,31.51,0.30152829409334986
3532,2010-01-04,2010-06-30,128.6,90.88,201001-201007,-0.2933126,6.587352774419212,loser,138.0,2010-07-01,88.8,2010-09-30,91.47,0.030067567567567587
6005,2010-01-04,2010-06-30,7.83,5.43,201001-201007,-0.30651341,6.198885305672945,loser,142.0,2010-07-01,5.4,2010-09-30,6.1,0.12962962962962948
8078,2010-01-04,2010-06-30,40.14,24.76,201001-201007,-0.38315894,3.9433952993918124,loser,147.0,2010-07-01,24.76,2010-09-30,27.53,0.11187399030694667
9945,2010-01-04,2010-06-30,14.61,17.37,201001-201007,0.1889117,20.778031466782814,winner,9.0,2010-07-01,16.86,2010-09-30,17.9,0.06168446026097267
1314,2010-02-01,2010-07-30,6.51,9.72,201002-201008,0.4930875576036868,27.401950878272896,winner,7.0,2010-08-02,10.08,2010-10-29,14.59,0.4474206349206349
2006,2010-02-01,2010-07-30,25.19,19.92,201002-201008,-0.2092100039698292,7.149680496776657,loser,142.0,2010-08-02,20.38,2010-10-29,20.31,-0.003434739941118758
2105,2010-02-01,2010-07-30,20.85,28.04,201002-201008,0.3448441247002397,23.127030602720254,winner,13.0,2010-08-02,28.48,2010-10-29,29.9,0.04985955056179769
2325,2010-02-01,2010-07-30,26.07,21.56,201002-201008,-0.1729957805907173,8.19399601723273,loser,138.0,2010-08-02,22.32,2010-10-29,23.15,0.03718637992831533
2332,2010-02-01,2010-07-30,21.33,16.96,201002-201008,-0.204875761837787,7.274667750555984,loser,141.0,2010-08-02,17.17,2010-10-29,21.22,0.23587652882935334
2371,2010-02-01,2010-07-30,17.39,14.76,201002-201008,-0.1512363427257044,8.821476508556461,loser,134.0,2010-08-02,14.86,2010-10-29,18.25,0.22812920592193814
2408,2010-02-01,2010-07-30,164.54,133.92,201002-201008,-0.1860945666707184,7.8162641669794075,loser,139.0,2010-08-02,136.09,2010-10-29,113.51,-0.1659196120214564
2498,2010-02-01,2010-07-30,227.82,468.57,201002-201008,1.0567553331577562,43.656531301819726,winner,1.0,2010-08-02,485.3,2010-10-29,550.65,0.13465897383062017
2609,2010-02-01,2010-07-30,11.93,22.1,201002-201008,0.8524727577535626,37.765601049912476,winner,2.0,2010-08-02,22.9,2010-10-29,24.82,0.08384279475982541
2610,2010-02-01,2010-07-30,8.57,13.91,201002-201008,0.6231038506417735,31.151252121335162,winner,4.0,2010-08-02,14.88,2010-10-29,19.29,0.29637096774193533
2615,2010-02-01,2010-07-30,6.1,8.44,201002-201008,0.3836065573770492,24.244829254130085,winner,10.0,2010-08-02,8.72,2010-10-29,8.8,0.009174311926605512
2618,2010-02-01,2010-07-30,7.26,11.09,201002-201008,0.5275482093663912,28.39569836538819,winner,5.0,2010-08-02,11.67,2010-10-29,17.94,0.5372750642673523
2823,2010-02-01,2010-07-30,7.07,9.75,201002-201008,0.379066478076379,24.11390624003817,winner,11.0,2010-08-02,10.41,2010-10-29,9.69,-0.06916426512968306
2912,2010-02-01,2010-07-30,46.44,65.72,201002-201008,0.4151593453919036,25.15472219571333,winner,9.0,2010-08-02,65.72,2010-10-29,78.71,0.19765672550213018
2915,2010-02-01,2010-07-30,34.44,60.05,201002-201008,0.7436120789779327,34.62636773755749,winner,3.0,2010-08-02,63.88,2010-10-29,57.19,-0.10472761427676901
3008,2010-02-01,2010-07-30,285.03,428.08,201002-201008,0.5018769954039927,27.65541334286456,winner,6.0,2010-08-02,453.96,2010-10-29,431.62,-0.049211384262930605
3037,2010-02-01,2010-07-30,25.03,36.64,201002-201008,0.4638433879344786,26.558631943922368,winner,8.0,2010-08-02,38.84,2010-10-29,36.73,-0.05432543769310006
3041,2010-02-01,2010-07-30,141.91,120.44,201002-201008,-0.1512930730744838,8.819840566150877,loser,135.0,2010-08-02,121.82,2010-10-29,108.0,-0.11344606796913474
3059,2010-02-01,2010-07-30,42.64,34.67,201002-201008,-0.1869136960600375,7.792642797950656,loser,140.0,2010-08-02,35.19,2010-10-29,34.83,-0.010230179028132978
3189,2010-02-01,2010-07-30,49.26,40.8,201002-201008,-0.171741778319123,8.230157887147866,loser,137.0,2010-08-02,42.08,2010-10-29,52.37,0.24453422053231938
3311,2010-02-01,2010-07-30,123.31,96.22,201002-201008,-0.2196902116616657,6.847461022521668,loser,143.0,2010-08-02,99.07,2010-10-29,101.07,0.02018774603815484
3443,2010-02-01,2010-07-30,101.08,86.34,201002-201008,-0.1458250890383854,8.977521721831746,loser,133.0,2010-08-02,87.05,2010-10-29,88.45,0.016082711085583064
3474,2010-02-01,2010-07-30,23.0,16.9,201002-201008,-0.2652173913043479,5.5345862493774725,loser,144.0,2010-08-02,17.05,2010-10-29,15.0,-0.12023460410557188
3481,2010-02-01,2010-07-30,37.96,25.65,201002-201008,-0.3242887249736565,3.8311364771954146,loser,146.0,2010-08-02,26.36,2010-10-29,30.47,0.15591805766312594
3532,2010-02-01,2010-07-30,132.46,92.22,201002-201008,-0.303789823342896,4.422266677647347,loser,145.0,2010-08-02,92.96,2010-10-29,88.95,-0.04313683304647151
3702,2010-02-01,2010-07-30,18.62,24.56,201002-201008,0.3190118152524166,22.38210004316707,winner,14.0,2010-08-02,25.2,2010-10-29,25.33,0.00515873015873012
8078,2010-02-01,2010-07-30,31.6,26.42,201002-201008,-0.1639240506329113,8.455598987235602,loser,136.0,2010-08-02,26.93,2010-10-29,24.89,-0.0757519494987003
9945,2010-02-01,2010-07-30,13.48,18.56,201002-201008,0.376854599406528,24.05012193075975,winner,12.0,2010-08-02,19.23,2010-10-29,17.38,-0.09620384815392623
1314,2010-03-01,2010-08-31,6.84,10.64,201003-201009,0.5555555555555557,29.187718411856345,winner,11.0,2010-09-01,10.93,2010-11-30,17.12,0.5663311985361392
1704,2010-03-01,2010-08-31,24.82,43.37,201003-201009,0.7473811442385172,35.41220160603437,winner,4.0,2010-09-01,46.38,2010-11-30,47.01,0.013583441138421635
2006,2010-03-01,2010-08-31,25.36,19.64,201003-201009,-0.225552050473186,3.8418237376783564,loser,138.0,2010-09-01,19.85,2010-11-30,20.1,0.012594458438287152
2201,2010-03-01,2010-08-31,40.24,57.82,201003-201009,0.4368787276341948,25.336814442231347,winner,12.0,2010-09-01,57.94,2010-11-30,73.17,0.2628581290990681
2207,2010-03-01,2010-08-31,40.78,57.49,201003-201009,0.4097596861206474,24.456837900507928,winner,14.0,2010-09-01,59.13,2010-11-30,58.02,-0.018772196854388624
2371,2010-03-01,2010-08-31,17.29,13.55,201003-201009,-0.2163100057836899,4.141715698102302,loser,135.0,2010-09-01,13.47,2010-11-30,18.4,0.365998515219005
2379,2010-03-01,2010-08-31,39.97,31.11,201003-201009,-0.2216662496872654,3.9679127639336675,loser,136.0,2010-09-01,30.96,2010-11-30,35.04,0.13178294573643404
2382,2010-03-01,2010-08-31,27.91,22.02,201003-201009,-0.2110354711572913,4.31286727576481,loser,133.0,2010-09-01,20.59,2010-11-30,27.14,0.31811559009227786
2384,2010-03-01,2010-08-31,20.27,35.23,201003-201009,0.7380365071534286,35.10898065990732,winner,5.0,2010-09-01,37.66,2010-11-30,48.15,0.2785448751991504
2385,2010-03-01,2010-08-31,26.32,20.74,201003-201009,-0.2120060790273557,4.281372351563963,loser,134.0,2010-09-01,21.82,2010-11-30,23.37,0.0710357470210816
2408,2010-03-01,2010-08-31,157.43,113.2,201003-201009,-0.2809502636092231,2.0442259874498254,loser,143.0,2010-09-01,116.3,2010-11-30,97.88,-0.15838349097162513
2451,2010-03-01,2010-08-31,41.44,31.22,201003-201009,-0.2466216216216216,3.158144399471146,loser,140.0,2010-09-01,31.37,2010-11-30,28.89,-0.07905642333439593
2475,2010-03-01,2010-08-31,3.16,4.95,201003-201009,0.5664556962025317,29.541413363281276,winner,10.0,2010-09-01,4.61,2010-11-30,4.34,-0.058568329718004436
2498,2010-03-01,2010-08-31,235.42,466.18,201003-201009,0.9802055900093452,42.96704275024431,winner,1.0,2010-09-01,474.94,2010-11-30,673.37,0.41780014317598013
2609,2010-03-01,2010-08-31,12.25,20.24,201003-201009,0.6522448979591835,32.32515795253303,winner,7.0,2010-09-01,20.66,2010-11-30,25.73,0.24540174249757987
2610,2010-03-01,2010-08-31,8.53,15.45,201003-201009,0.8112543962485347,37.48480300621016,winner,3.0,2010-09-01,16.14,2010-11-30,19.69,0.21995043370508058
2618,2010-03-01,2010-08-31,7.14,13.21,201003-201009,0.8501400560224092,38.74659053632452,winner,2.0,2010-09-01,13.53,2010-11-30,20.14,0.4885439763488545
2707,2010-03-01,2010-08-31,98.82,165.95,201003-201009,0.6793159279498078,33.20357658470115,winner,6.0,2010-09-01,165.95,2010-11-30,163.69,-0.01361855980717078
2912,2010-03-01,2010-08-31,47.57,76.77,201003-201009,0.6138322472146309,31.078718931311172,winner,9.0,2010-09-01,74.82,2010-11-30,79.68,0.06495589414595047
2915,2010-03-01,2010-08-31,37.94,61.83,201003-201009,0.6296784396415394,31.592906632390093,winner,8.0,2010-09-01,62.75,2010-11-30,62.75,0.0
3037,2010-03-01,2010-08-31,25.03,35.74,201003-201009,0.4278865361566121,25.045029883584423,winner,13.0,2010-09-01,36.38,2010-11-30,39.2,0.07751511819681144
3041,2010-03-01,2010-08-31,155.31,108.0,201003-201009,-0.3046165733050029,1.276285964531087,loser,145.0,2010-09-01,105.46,2010-11-30,103.28,-0.020671344585624814
3481,2010-03-01,2010-08-31,35.07,24.54,201003-201009,-0.3002566295979469,1.4177602929481634,loser,144.0,2010-09-01,24.31,2010-11-30,30.99,0.27478403948992186
3504,2010-03-01,2010-08-31,191.62,143.31,201003-201009,-0.2521135580837073,2.97993842368632,loser,141.0,2010-09-01,148.31,2010-11-30,128.73,-0.13202076731171203
3532,2010-03-01,2010-08-31,125.48,86.28,201003-201009,-0.3124003825310806,1.0237117900058927,loser,146.0,2010-09-01,87.77,2010-11-30,86.58,-0.01355816338156543
6286,2010-03-01,2010-08-31,231.92,172.91,201003-201009,-0.2544411866160745,2.9044099981958373,loser,142.0,2010-09-01,174.89,2010-11-30,215.74,0.2335753902452972
8078,2010-03-01,2010-08-31,29.75,23.14,201003-201009,-0.2221848739495798,3.9510841018816807,loser,137.0,2010-09-01,24.02,2010-11-30,20.39,-0.15112406328059946
8131,2010-03-01,2010-08-31,19.71,15.07,201003-201009,-0.2354134956874683,3.5218330605844006,loser,139.0,2010-09-01,15.11,2010-11-30,16.16,0.06949040370615492
1314,2010-04-01,2010-09-30,7.77,12.56,201004-201010,0.6164736164736166,29.1050162693394,winner,10.0,2010-10-01,12.48,2010-12-31,16.28,0.3044871794871795
1605,2010-04-01,2010-09-30,8.02,11.88,201004-201010,0.4812967581047383,25.130300571862023,winner,13.0,2010-10-01,11.91,2010-12-31,11.82,-0.00755667506297228
1704,2010-04-01,2010-09-30,24.27,40.58,201004-201010,0.6720230737536053,30.73838238319453,winner,7.0,2010-10-01,41.14,2010-12-31,41.81,0.01628585318424895
2006,2010-04-01,2010-09-30,25.15,20.7,201004-201010,-0.1769383697813121,5.775674883637996,loser,136.0,2010-10-01,20.56,2010-12-31,23.43,0.139591439688716
2201,2010-04-01,2010-09-30,43.99,69.83,201004-201010,0.5874062286883381,28.250324098586837,winner,11.0,2010-10-01,70.57,2010-12-31,76.39,0.08247130508714763
2227,2010-04-01,2010-09-30,31.64,60.13,201004-201010,0.9004424778761062,37.45478489564676,winner,2.0,2010-10-01,64.18,2010-12-31,59.7,-0.0698036771579932
2303,2010-04-01,2010-09-30,7.99,6.77,201004-201010,-0.1526908635794744,6.488644135091715,loser,134.0,2010-10-01,6.77,2010-12-31,7.97,0.17725258493353033
2371,2010-04-01,2010-09-30,19.46,15.57,201004-201010,-0.1998972250770812,5.1005968884741835,loser,138.0,2010-10-01,16.66,2010-12-31,19.92,0.1956782713085235
2384,2010-04-01,2010-09-30,25.94,43.33,201004-201010,0.6703932151117963,30.69045831685332,winner,8.0,2010-10-01,45.5,2010-12-31,44.35,-0.025274725274725244
2385,2010-04-01,2010-09-30,28.55,23.8,201004-201010,-0.1663747810858143,6.08628471964345,loser,135.0,2010-10-01,23.84,2010-12-31,23.44,-0.016778523489932827
2408,2010-04-01,2010-09-30,190.52,130.83,201004-201010,-0.3133004408985932,1.7661094065994487,loser,145.0,2010-10-01,128.67,2010-12-31,100.67,-0.21761094272169107
2451,2010-04-01,2010-09-30,43.52,32.75,201004-201010,-0.2474724264705882,3.7017043408060104,loser,140.0,2010-10-01,32.95,2010-12-31,32.14,-0.024582701062215544
2454,2010-04-01,2010-09-30,269.05,220.99,201004-201010,-0.1786285077123211,5.72597837606751,loser,137.0,2010-10-01,226.03,2010-12-31,210.17,-0.07016767685705444
2489,2010-04-01,2010-09-30,17.58,13.98,201004-201010,-0.2047781569965869,4.957078856224632,loser,139.0,2010-10-01,14.03,2010-12-31,13.98,-0.0035637918745544503
2498,2010-04-01,2010-09-30,272.37,564.99,201004-201010,1.0743473950875646,42.56825337427229,winner,1.0,2010-10-01,563.4,2010-12-31,717.19,0.2729676961306356
2609,2010-04-01,2010-09-30,12.57,21.36,201004-201010,0.6992840095465392,31.53995796892396,winner,6.0,2010-10-01,21.31,2010-12-31,30.09,0.41201313937118733
2610,2010-04-01,2010-09-30,9.83,18.2,201004-201010,0.8514750762970498,36.01495634755436,winner,3.0,2010-10-01,18.28,2010-12-31,20.87,0.14168490153172864
