combination,remark,count,mean_return2
201001-201007,loser,88,-0.05948463162004094
201001-201007,winner,88,0.1019200937071989
201002-201008,loser,82,-0.11536148801584903
201002-201008,winner,82,0.015613817188196056
201003-201009,loser,87,-0.3060671372240835
201003-201009,winner,87,-0.08666912907558864
201004-201010,loser,95,-0.34947617082849375
201004-201010,winner,94,-0.2410309188301381
201005-201011,loser,89,-0.3074052589548667
201005-201011,winner,91,-0.12658269580300963
201006-201012,loser,89,-0.2801366695761157
201006-201012,winner,90,-0.2880687013242564
201007-201101,loser,89,-0.3788594796748533
201007-201101,winner,93,-0.23099968023091463
201008-201102,loser,95,-0.33223776655717796
201008-201102,winner,96,-0.18807034505765574
201009-201103,loser,96,-0.1588032217442729
201009-201103,winner,97,-0.07706301939300704
201010-201104,loser,99,-0.24863948592804597
201010-201104,winner,98,-0.14993863654251313
201011-201105,loser,95,-0.29232533824943807
201011-201105,winner,96,-0.22000782281141976
201012-201106,loser,101,-0.3021974477252739
201012-201106,winner,101,-0.20465599228204043
201101-201107,loser,109,-0.2520758540804167
201101-201107,winner,109,-0.1572051355506575
201102-201108,loser,108,-0.2417188493142968
201102-201108,winner,108,-0.19237426231198665
201103-201109,loser,105,-0.0760900043649041
201103-201109,winner,106,-0.013352649586300638
201104-201110,loser,108,0.12314032406117281
201104-201110,winner,107,0.19973965073595745
201105-201111,loser,106,-0.09241562048945998
201105-201111,winner,106,-0.02749327899450298
201106-201112,loser,106,-0.004198496435266346
201106-201112,winner,103,0.10946011686768488
201107-201201,loser,104,0.13605081896962062
201107-201201,winner,103,0.19763283293610898
201108-201202,loser,98,-0.05813009283755675
201108-201202,winner,97,0.16699152537654943
201109-201203,loser,92,-0.08563682577852051
201109-201203,winner,91,-0.033957499701380706
201110-201204,loser,93,-0.02633051017280986
201110-201204,winner,93,0.10840875703446032
201111-201205,loser,92,0.046180638446908395
201111-201205,winner,92,0.23723159303974858
201112-201206,loser,87,0.07088957130415766
201112-201206,winner,87,0.21693968222331736
201201-201207,loser,89,0.03922492583646535
201201-201207,winner,89,0.11714426018347053
201202-201208,loser,97,0.03670804967983907
201202-201208,winner,99,0.3045643404667329
201203-201209,loser,103,-0.05164809295389857
201203-201209,winner,103,0.21111262069031836
201204-201210,loser,97,0.05073069188163661
201204-201210,winner,98,0.24114726617998497
201205-201211,loser,92,0.289117839897762
201205-201211,winner,94,0.37387375898947617
201206-201212,loser,90,0.19151835057220118
201206-201212,winner,91,0.3975326801324052
201207-201301,loser,94,0.2661525639289429
201207-201301,winner,94,0.42975612137137165
201208-201302,loser,95,0.1668610999707636
201208-201302,winner,95,0.37371306364990514
201209-201303,loser,99,0.2760193089495419
201209-201303,winner,100,0.372147787232769
201210-201304,loser,97,0.3319760891613304
201210-201304,winner,97,0.45157671218110035
201211-201305,loser,93,0.2423055494333414
201211-201305,winner,94,0.2678027527624727
201212-201306,loser,98,0.21993630643694562
201212-201306,winner,98,0.3326698374511566
201301-201307,loser,101,0.3078673216910596
201301-201307,winner,101,0.38397247008848623
201302-201308,loser,103,0.25445951129466104
201302-201308,winner,103,0.23604214051101355
201303-201309,loser,106,0.23420179671019928
201303-201309,winner,105,0.17315694259231054
201304-201310,loser,107,0.1836035144217371
201304-201310,winner,106,0.2201997606315504
201305-201311,loser,108,0.10047007465810706
201305-201311,winner,109,0.07976733459212272
201306-201312,loser,109,0.1160409284122999
201306-201312,winner,110,0.02680982581685883
201307-201401,loser,109,0.11333757627016078
201307-201401,winner,110,0.06060122973859505
201308-201402,loser,111,0.10142180109683936
201308-201402,winner,112,0.09101534062934438
201309-201403,loser,111,0.036450453100586144
201309-201403,winner,113,0.017017775545777936
201310-201404,loser,115,-0.013888685782029035
201310-201404,winner,115,-0.026784271393683612
201311-201405,loser,113,0.0024515173431038325
201311-201405,winner,114,0.03974325935111719
201312-201406,loser,119,-0.04091977013772058
201312-201406,winner,119,-0.09474263578284199
201401-201407,loser,122,-0.1244030819843819
201401-201407,winner,122,-0.1652090550985494
201402-201408,loser,124,-0.22715973569704098
201402-201408,winner,122,-0.2116003520767466
201403-201409,loser,127,-0.2743185828918039
201403-201409,winner,125,-0.2561545536469638
201404-201410,loser,126,-0.18069473944378137
201404-201410,winner,124,-0.16513501110430784
201405-201411,loser,126,-0.08553116157124169
201405-201411,winner,126,-0.04865730971136328
201406-201412,loser,126,-0.09189420626324422
201406-201412,winner,128,-0.04186977677907976
201407-201501,loser,129,-0.15437287681386055
201407-201501,winner,129,-0.04430808993262657
201408-201502,loser,128,-0.21855458394113367
201408-201502,winner,128,0.0386552619986545
201409-201503,loser,127,-0.1854999814803553
201409-201503,winner,129,0.03899985241606948
201410-201504,loser,123,-0.13762426136482517
201410-201504,winner,124,0.03429368974429512
201411-201505,loser,125,-0.1634019432911345
201411-201505,winner,125,0.02362450372576459
201412-201506,loser,130,-0.13277566405355715
201412-201506,winner,127,-0.04682925402617882
201501-201507,loser,131,0.043353863653163544
201501-201507,winner,130,-0.03986936277656184
201502-201508,loser,130,0.3588540570390857
201502-201508,winner,131,0.1922414729596069
201503-201509,loser,133,0.3860393127628778
201503-201509,winner,132,0.2487172636403648
201504-201510,loser,132,0.2856322846224844
201504-201510,winner,132,0.16575271339820713
201505-201511,loser,131,0.09937831724953537
201505-201511,winner,130,0.16935790117092356
201506-201512,loser,126,0.1193890085656025
201506-201512,winner,127,0.03787588964607805
201507-201601,loser,120,0.04681491600745035
201507-201601,winner,122,0.06416129063074734
201508-201602,loser,115,0.06400938239018389
201508-201602,winner,115,0.06231572148256599
201509-201603,loser,117,0.04795824010043369
201509-201603,winner,117,0.04941968975995782
201510-201604,loser,122,0.08688816548810006
201510-201604,winner,122,0.06063166465609766
201511-201605,loser,120,0.12254550289978404
201511-201605,winner,121,0.12458276267021919
201512-201606,loser,117,0.13613845073480013
201512-201606,winner,118,0.1347673769091922
201601-201607,loser,117,0.08942316320860595
201601-201607,winner,118,0.1063357840445078
201602-201608,loser,118,0.057532170374707516
201602-201608,winner,121,0.18137614633058777
201603-201609,loser,126,0.04973083080131111
201603-201609,winner,127,0.21914343738810302
201604-201610,loser,123,0.025527549763462967
201604-201610,winner,126,0.2042000946710469
201605-201611,loser,120,0.1023818282208319
201605-201611,winner,122,0.29689703123220784
201606-201612,loser,122,0.08637398172984262
201606-201612,winner,124,0.3485648145528345
201607-201701,loser,127,0.02241473614895573
201607-201701,winner,129,0.28044039376154595
201608-201702,loser,132,0.06442084832497995
201608-201702,winner,132,0.24476488887762599
201609-201703,loser,133,0.00689727299162376
201609-201703,winner,132,0.3156200990296491
201610-201704,loser,133,0.060184759732658015
201610-201704,winner,133,0.19539530761219628
201611-201705,loser,131,0.048487208746439116
201611-201705,winner,130,0.15293666212652265
201612-201706,loser,133,0.09332187630307584
201612-201706,winner,134,0.24914318195731727
201701-201707,loser,136,0.08209253360784781
201701-201707,winner,135,0.3379998918569892
201702-201708,loser,138,0.0690800501585773
201702-201708,winner,138,0.2268490354988073
201703-201709,loser,142,0.015047631777015761
201703-201709,winner,141,0.07327150682060914
201704-201710,loser,140,-0.05875810189954347
201704-201710,winner,140,-0.10249321319115551
201705-201711,loser,139,-0.16017406547118254
201705-201711,winner,141,-0.29960450621188073
201706-201712,loser,142,-0.06503192676983789
201706-201712,winner,142,-0.15594323204808094
201707-201801,loser,142,-0.08934184461844859
201707-201801,winner,142,-0.18115723839503006
201708-201802,loser,144,-0.1186206283124346
201708-201802,winner,144,-0.18343933274480578
201709-201803,loser,147,-0.0332314051030066
201709-201803,winner,147,-0.1325944338336257
201710-201804,loser,147,-0.05915660909406443
201710-201804,winner,146,-0.10672915135486055
201711-201805,loser,148,0.021261831435547787
201711-201805,winner,148,-0.09872373571980297
201712-201806,loser,145,-0.08425903788118132
201712-201806,winner,147,-0.2052863405308779
201801-201807,loser,147,-0.04130545071075463
201801-201807,winner,151,-0.21218172926171242
201802-201808,loser,146,0.021057195803271988
201802-201808,winner,149,-0.11995679295582423
201803-201809,loser,150,0.018870050298728357
201803-201809,winner,151,-0.020996334438749827
201804-201810,loser,150,0.0545164490635169
201804-201810,winner,150,0.036949865852216414
201805-201811,loser,150,0.27057431722184794
201805-201811,winner,149,0.2613618447363895
201806-201812,loser,151,0.10800866546832529
201806-201812,winner,152,0.21103166358511838
