combination,remark,count,mean_return2
201001-201004,loser,14,-0.14717818333430457
201001-201004,winner,14,-0.047806727756646614
201002-201005,loser,14,-0.03143629336939775
201002-201005,winner,14,0.10395977259706471
201003-201006,loser,14,0.05335777547447056
201003-201006,winner,14,0.12502227019226683
201004-201007,loser,14,0.13645683571892614
201004-201007,winner,14,0.32231089716516825
201005-201008,loser,14,0.0353080766838975
201005-201008,winner,14,0.08962528699848885
201006-201009,loser,14,0.1062203150960709
201006-201009,winner,14,0.12555964091086766
201007-201010,loser,14,0.033347037192165564
201007-201010,winner,14,0.0641038696743934
201008-201011,loser,14,0.09861272566837194
201008-201011,winner,14,0.038208932610857525
201009-201012,loser,13,-0.0038994086975278697
201009-201012,winner,14,0.003024584994455693
201010-201101,loser,14,-0.05571283856809952
201010-201101,winner,14,-0.05786239839922042
201011-201102,loser,14,-0.06578770215756179
201011-201102,winner,14,0.09122608262810052
201012-201103,loser,14,0.0274045912988713
201012-201103,winner,14,0.11316873133516711
201101-201104,loser,14,0.03417952821257285
201101-201104,winner,14,0.0008020177687022845
201102-201105,loser,14,-0.15593133603239487
201102-201105,winner,14,0.11038974131680425
201103-201106,loser,14,-0.299368052866495
201103-201106,winner,14,-0.030465492149094015
201104-201107,loser,14,-0.3366553006040749
201104-201107,winner,14,-0.09675803298205747
201105-201108,loser,14,-0.23701545024966267
201105-201108,winner,14,-0.20103037385792008
201106-201109,loser,14,-0.26678216288822443
201106-201109,winner,14,-0.1669847218567961
201107-201110,loser,14,-0.06765032586877831
201107-201110,winner,14,0.001588125889676478
201108-201111,loser,14,-0.012066942185835055
201108-201111,winner,14,0.040838701238108
201109-201112,loser,14,0.36927827261044016
201109-201112,winner,14,0.11156522136875566
201110-201201,loser,14,0.3156958914460975
201110-201201,winner,14,0.2284680776155499
201111-201202,loser,14,-0.028032940000007178
201111-201202,winner,14,-0.0037222527284416418
201112-201203,loser,14,-0.08393509832976728
201112-201203,winner,14,-0.16716479204323642
201201-201204,loser,14,-0.0005618189629251152
201201-201204,winner,14,-0.0602410551546644
201202-201205,loser,14,-0.07383149499908488
201202-201205,winner,14,-0.019373754996307755
201203-201206,loser,14,-0.02500951657401634
201203-201206,winner,14,0.11106132023481248
201204-201207,loser,14,0.06358167845756385
201204-201207,winner,14,0.1430718447453241
201205-201208,loser,14,-0.0978605577748599
201205-201208,winner,14,-0.006119512246925478
201206-201209,loser,14,-0.08746998796951373
201206-201209,winner,14,-0.0027712704869964485
201207-201210,loser,14,0.053772108404364034
201207-201210,winner,14,-0.027083047206831228
201208-201211,loser,14,0.23691101426772368
201208-201211,winner,14,0.03143315534553317
201209-201212,loser,14,0.10440314817877787
201209-201212,winner,14,0.07557466683586064
201210-201301,loser,14,0.10708057807029057
201210-201301,winner,14,0.0697086917990345
201211-201302,loser,14,-0.004675702486417113
201211-201302,winner,14,0.05591315748299831
201212-201303,loser,14,0.045232960477059415
201212-201303,winner,14,0.09916496589694083
201301-201304,loser,14,-0.0019113303620979026
201301-201304,winner,14,0.10006466532923898
201302-201305,loser,14,0.05418671305836794
201302-201305,winner,14,0.0008369992355938678
201303-201306,loser,14,0.01265008898849193
201303-201306,winner,14,0.04332520346654151
201304-201307,loser,14,0.03863410674973474
201304-201307,winner,14,0.03902400152568884
201305-201308,loser,14,-0.015211957115600859
201305-201308,winner,14,0.020997883412948608
201306-201309,loser,14,-0.06700158003323953
201306-201309,winner,14,0.11096104629074453
201307-201310,loser,14,-0.08882987351258245
201307-201310,winner,14,0.09421538272923281
201308-201311,loser,14,-0.038524368105738394
201308-201311,winner,14,0.008040638933662966
201309-201312,loser,14,0.0514329683974904
201309-201312,winner,13,0.01960490631605558
201310-201401,loser,14,0.005482311821571872
201310-201401,winner,13,0.04919445239771056
201311-201402,loser,14,0.07472874430720967
201311-201402,winner,14,0.10830551415615726
201312-201403,loser,14,0.07897962334934668
