combination,remark,count,mean_return2
201001-201007,loser,14,0.024031224873347582
201001-201007,winner,14,0.35561372206346187
201002-201008,loser,14,-0.04207116823281894
201002-201008,winner,14,0.24255643991321674
201003-201009,loser,14,0.024917669798842013
201003-201009,winner,14,0.22150100247841895
201004-201010,loser,14,-0.1802891095056118
201004-201010,winner,14,0.1077848079518121
201005-201011,loser,14,-0.19116649690852608
201005-201011,winner,14,0.059785993937263436
201006-201012,loser,14,-0.23271961973395575
201006-201012,winner,14,-0.03750185804889665
201007-201101,loser,14,-0.35494527548438676
201007-201101,winner,14,-0.21798665066882952
201008-201102,loser,14,-0.2290664888577481
201008-201102,winner,14,-0.1035250664556868
201009-201103,loser,14,-0.3631133022017138
201009-201103,winner,14,-0.17483680473797578
201010-201104,loser,14,-0.25140036855428916
201010-201104,winner,13,-0.25115144852561194
201011-201105,loser,14,-0.17914612610673916
201011-201105,winner,14,-0.20109259165757
201012-201106,loser,14,-0.2119489793008218
201012-201106,winner,14,-0.12020004323575721
201101-201107,loser,14,-0.14386307596676207
201101-201107,winner,14,-0.10512783128018521
201102-201108,loser,14,-0.22266353240762202
201102-201108,winner,14,-0.18098945113931791
201103-201109,loser,14,-0.1541923339735545
201103-201109,winner,14,-0.0800661845991105
201104-201110,loser,14,-0.001402982836388062
201104-201110,winner,14,0.1940298042179042
201105-201111,loser,14,-0.07782077782485379
201105-201111,winner,14,0.06700692226268858
201106-201112,loser,14,-0.0019655594173141016
201106-201112,winner,14,0.2579350968854045
201107-201201,loser,14,0.03071516331114433
201107-201201,winner,14,0.22747979757840156
201108-201202,loser,14,-0.14661285164735385
201108-201202,winner,14,0.07552195791744978
201109-201203,loser,14,-0.17679906964313044
201109-201203,winner,14,-0.1132852113190014
201110-201204,loser,14,-0.0022202595478199583
201110-201204,winner,14,-0.09536647827258181
201111-201205,loser,14,0.08733907118831608
201111-201205,winner,14,0.10051013006645604
201112-201206,loser,14,0.04873854247669215
201112-201206,winner,14,0.15719813397490068
201201-201207,loser,14,0.023932491786153583
201201-201207,winner,14,0.20512875909769607
201202-201208,loser,14,0.12719118958841397
201202-201208,winner,14,0.12178123082317212
201203-201209,loser,14,0.20733154910112375
201203-201209,winner,14,0.2584514839116899
201204-201210,loser,14,0.3134405649612132
201204-201210,winner,14,0.12430646731182718
201205-201211,loser,14,0.3935441809174395
201205-201211,winner,14,0.2321556060269661
201206-201212,loser,14,0.10383540962990788
201206-201212,winner,14,0.1374650714120484
201207-201301,loser,14,0.03501809440798471
201207-201301,winner,14,0.04624242896160769
201208-201302,loser,14,0.21030877757941688
201208-201302,winner,14,0.08582262644009234
201209-201303,loser,14,-0.022199666421514695
201209-201303,winner,14,0.029698061590815762
201210-201304,loser,14,-0.052931153772887256
201210-201304,winner,14,0.2549104603890125
201211-201305,loser,14,0.02552601160571542
201211-201305,winner,14,-0.005419691490383391
201212-201306,loser,14,0.11901679506861887
201212-201306,winner,13,0.06623193458097645
201301-201307,loser,14,0.12004439348938707
201301-201307,winner,13,0.16864810232244623
201302-201308,loser,14,0.05094489722207835
201302-201308,winner,14,0.12090939160192457
201303-201309,loser,14,0.09196806756526839
201303-201309,winner,14,0.3118543848938174
201304-201310,loser,14,0.07544233212437798
201304-201310,winner,14,0.3810560571683637
201305-201311,loser,14,0.22045221788691077
201305-201311,winner,13,0.1860442900208758
201306-201312,loser,14,0.31206697097846037
201306-201312,winner,12,0.05001405468650599
201307-201401,loser,14,0.12293462066099717
201307-201401,winner,13,0.04511714989951396
201308-201402,loser,14,0.06762173010419958
201308-201402,winner,13,-0.03997414292937019
201309-201403,loser,14,0.1515664652808609
201309-201403,winner,13,-0.0064676217656190575
201310-201404,loser,14,0.15776227727570596
201310-201404,winner,14,0.13363199442352888
201311-201405,loser,14,-0.10792257856450167
201311-201405,winner,14,0.0831602397356345
201312-201406,loser,14,-0.034517241926909574
201312-201406,winner,14,0.04693237029022309
201401-201407,loser,14,0.04320210536729708
201401-201407,winner,14,0.025690342159282342
201402-201408,loser,14,-0.011046622212636994
201402-201408,winner,14,0.0571252621099938
201403-201409,loser,14,-0.005971437901424335
201403-201409,winner,14,0.0663126401400559
201404-201410,loser,14,-0.07603836032987867
201404-201410,winner,14,0.04619801502959016
201405-201411,loser,14,-0.17528431618553528
201405-201411,winner,14,-0.11320834496716861
201406-201412,loser,14,-0.2599893604938305
201406-201412,winner,14,-0.08971167209496
201407-201501,loser,14,-0.24888129640421577
201407-201501,winner,14,-0.10250232989302396
201408-201502,loser,14,-0.11650046261276546
201408-201502,winner,14,-0.08382653658183291
201409-201503,loser,14,-0.20593670427496522
201409-201503,winner,14,-0.12682670547383473
201410-201504,loser,14,-0.2651321989591369
201410-201504,winner,14,-0.19105512299703384
201411-201505,loser,14,-0.2332397220636427
201411-201505,winner,14,-0.25610049719383415
201412-201506,loser,14,-0.12955673682935756
201412-201506,winner,14,-0.23358889266411223
201501-201507,loser,14,-0.12140116761963039
201501-201507,winner,14,-0.16402672168894963
201502-201508,loser,14,0.08219296378580905
201502-201508,winner,13,-0.15253575074095926
201503-201509,loser,14,0.06437052813849621
201503-201509,winner,13,-0.09743492487003164
201504-201510,loser,14,0.07482597010758167
201504-201510,winner,13,-0.16304195317749298
201505-201511,loser,14,0.05810813295253302
201505-201511,winner,13,0.009076221211404488
201506-201512,loser,14,0.13983971547719656
201506-201512,winner,13,0.09095786568156711
201507-201601,loser,14,0.17276770190927654
201507-201601,winner,13,0.0026287473970373577
201508-201602,loser,14,0.11622426280992636
201508-201602,winner,14,0.1742443648744849
201509-201603,loser,14,0.08310328976646322
201509-201603,winner,14,0.06083606618998944
201510-201604,loser,14,0.02988064664984846
201510-201604,winner,13,0.019659442097641314
201511-201605,loser,14,0.1611332061552468
201511-201605,winner,13,0.12182956185584651
201512-201606,loser,14,0.19247197379560635
201512-201606,winner,13,0.2563498714706799
201601-201607,loser,14,0.22471768410114437
201601-201607,winner,14,0.09625185634318785
201602-201608,loser,14,0.08078653868400955
201602-201608,winner,14,0.029848797943652035
201603-201609,loser,14,0.2690161746951478
201603-201609,winner,14,0.0005122713089653222
201604-201610,loser,14,0.2700983960881676
201604-201610,winner,14,0.023361887836914768
201605-201611,loser,14,0.16892630492389618
201605-201611,winner,14,0.12701111850043695
201606-201612,loser,14,0.31994413978858743
201606-201612,winner,14,0.2109971784437275
201607-201701,loser,14,0.18462499422084097
201607-201701,winner,14,0.2205007611436536
201608-201702,loser,14,0.1811456289501671
201608-201702,winner,14,0.2497375619289146
201609-201703,loser,14,0.06276485857525324
201609-201703,winner,14,0.19349026295346666
201610-201704,loser,14,0.11020368625991575
201610-201704,winner,14,0.33868141053404954
201611-201705,loser,14,0.10635224751609478
201611-201705,winner,14,0.4230595069541577
201612-201706,loser,14,0.07650515984165653
201612-201706,winner,14,0.3644975585159105
201701-201707,loser,14,0.14465339129822893
201701-201707,winner,14,0.32750942669165617
201702-201708,loser,14,0.09131900110512137
201702-201708,winner,14,0.13982738555383134
201703-201709,loser,14,0.11413131595795957
201703-201709,winner,14,0.16886071066003283
201704-201710,loser,14,0.05471015011136112
201704-201710,winner,14,0.5515883966522649
201705-201711,loser,14,-0.04138651721084581
201705-201711,winner,14,0.0657960982616305
201706-201712,loser,14,-0.0044621097206347755
201706-201712,winner,14,0.06562934167570729
201707-201801,loser,14,-0.06525185637757588
201707-201801,winner,14,-0.005278271392269456
201708-201802,loser,14,-0.23236055833266467
201708-201802,winner,14,-0.24175792969919993
201709-201803,loser,14,-0.22553902812514456
201709-201803,winner,14,-0.20876955884175308
201710-201804,loser,14,-0.24972289409238302
201710-201804,winner,14,-0.15110125580676664
201711-201805,loser,14,-0.05305860078978296
201711-201805,winner,13,-0.10637450140233176
201712-201806,loser,14,-0.04643272625844974
201712-201806,winner,14,-0.21573476824876764
201801-201807,loser,14,0.1167893625248596
201801-201807,winner,14,-0.10207107921321293
201802-201808,loser,14,0.20649492712276393
201802-201808,winner,13,-0.034236106911301856
201803-201809,loser,14,-0.1055053485759062
201803-201809,winner,14,-0.029964903491884687
201804-201810,loser,14,0.02568109648608537
201804-201810,winner,14,0.0022928708226835786
201805-201811,loser,14,0.21903335797099918
201805-201811,winner,13,0.30169943704261054
201806-201812,loser,14,0.0016813809757744533
201806-201812,winner,13,0.2510851056097011
201807-201901,loser,14,0.3931287109349434
201807-201901,winner,13,0.23918365905468864
201808-201902,loser,14,0.41959976698006807
201808-201902,winner,14,0.18046064859077138
201809-201903,loser,14,0.1445311668667406
201809-201903,winner,14,0.27705904003695786
201810-201904,loser,14,0.0897297351696399
201810-201904,winner,14,0.24440840965048172
201811-201905,loser,14,0.001190983356606598
201811-201905,winner,14,0.07577838482578914
201812-201906,loser,14,0.17367574124980778
201812-201906,winner,14,0.0802479980266283
201901-201907,loser,14,-0.25337446217525483
201901-201907,winner,14,-0.09012255269822536
201902-201908,loser,14,0.0806137243547791
201902-201908,winner,14,-0.02659094423543789
201903-201909,loser,14,0.006873707043791483
201903-201909,winner,14,0.15423046508266944
201904-201910,loser,14,0.18588201377354646
201904-201910,winner,14,0.23744583723863685
201905-201911,loser,14,-0.020351890470429106
201905-201911,winner,14,0.19008725348809793
201906-201912,loser,14,0.015096146225992783
201906-201912,winner,14,0.23568353793977928
201907-202001,loser,14,-0.009673445297518943
201907-202001,winner,14,0.004767901085401848
201908-202002,loser,14,0.19832406799506427
201908-202002,winner,14,0.16612463500173144
201909-202003,loser,14,0.29888458307373494
201909-202003,winner,14,0.4981949933362584
201910-202004,loser,14,0.8069209231778817
201910-202004,winner,14,0.6499102328527844
201911-202005,loser,14,0.2987129446459318
201911-202005,winner,13,0.5716358273477029
201912-202006,loser,14,0.5711707806710401
201912-202006,winner,14,0.22855140291034817
202001-202007,loser,14,0.3859543497859866
202001-202007,winner,14,0.531207631999835
202002-202008,loser,14,0.4297454088665256
202002-202008,winner,14,0.44657434135921503
202003-202009,loser,14,0.355911898881273
202003-202009,winner,14,0.7945943040015383
202004-202010,loser,14,0.31806623102561266
202004-202010,winner,14,1.3699978456483037
202005-202011,loser,13,0.2360096599637805
202005-202011,winner,14,1.5185176992859468
202006-202012,loser,14,0.10535742688922105
202006-202012,winner,14,1.0671381524969172
202007-202101,loser,14,0.22921754191607688
202007-202101,winner,14,0.44935542929873434
202008-202102,loser,14,-0.01905696990262241
202008-202102,winner,14,0.48077582087482246
202009-202103,loser,14,-0.012539046252843106
202009-202103,winner,14,0.5124425257163439
202010-202104,loser,14,0.009433532809796854
202010-202104,winner,14,0.5394022171608522
202011-202105,loser,14,0.05377768641277183
202011-202105,winner,14,0.013485362547392268
202012-202106,loser,14,0.06094302486124796
202012-202106,winner,14,0.022453493493539707
202101-202107,loser,14,0.10592914565186785
202101-202107,winner,14,-0.06266645828053638
202102-202108,loser,14,-0.0508558542963597
202102-202108,winner,14,0.037512908574729296
202103-202109,loser,14,-0.03860932629752345
202103-202109,winner,14,-0.000980652617990693
202104-202110,loser,14,-0.12113106206905377
202104-202110,winner,14,-0.1727385616622099
202105-202111,loser,14,-0.17290476013605757
202105-202111,winner,14,-0.2724999562189959
202106-202112,loser,14,-0.23717895662007946
202106-202112,winner,14,-0.2327938369146013
202107-202201,loser,14,-0.3176971450202912
202107-202201,winner,14,-0.29478471932972566
202108-202202,loser,14,-0.38564801117825315
202108-202202,winner,14,-0.21840432862458584
202109-202203,loser,14,-0.2002655460053852
202109-202203,winner,14,-0.18751089471952614
202110-202204,loser,14,-0.2194581441150773
202110-202204,winner,14,-0.21183291852791752
202111-202205,loser,14,-0.029608909943067196
202111-202205,winner,14,-0.14550166281750915
202112-202206,loser,14,-0.16808600167128898
202112-202206,winner,14,-0.016693243306327515
202201-202207,loser,14,0.18072518866787493
202201-202207,winner,14,0.0509403281414272
202202-202208,loser,14,0.14299642993679937
202202-202208,winner,14,0.09868013100025488
202203-202209,loser,14,0.10366372525717968
202203-202209,winner,14,0.1627553907660475
202204-202210,loser,14,0.34418392806066195
202204-202210,winner,14,0.3010533327968295
202205-202211,loser,14,0.41070998356432914
202205-202211,winner,14,0.4481187143942854
202206-202212,loser,14,0.13017162949758615
202206-202212,winner,14,0.17161956886235283
202207-202301,loser,14,0.2117785050658723
202207-202301,winner,14,0.2631643863012971
202208-202302,loser,14,-0.12033247871622657
202208-202302,winner,14,0.3177986598180552
202209-202303,loser,14,0.09998163099279367
202209-202303,winner,14,0.1897206772879548
202210-202304,loser,14,0.17295965612468042
202210-202304,winner,14,0.34022117226608145
202211-202305,loser,14,0.09004178734732234
202211-202305,winner,14,0.5961459110541376
202212-202306,loser,14,-0.023544251816644858
202212-202306,winner,14,0.6602010954472564
202301-202307,loser,14,-0.08278122287571087
202301-202307,winner,14,0.37728336250421535
202302-202308,loser,14,0.004658211446928029
202302-202308,winner,14,0.12975454134554767
202303-202309,loser,14,0.11984117027049832
202303-202309,winner,14,0.17087327951742193
202304-202310,loser,14,0.11270321414422353
202304-202310,winner,14,0.17243787542534167
202305-202311,loser,14,0.19994272562966
202305-202311,winner,14,0.29089341367670213
202306-202312,loser,14,0.10204752984149519
202306-202312,winner,14,0.1385079486420523
202307-202401,loser,14,0.2794428115334119
202307-202401,winner,14,-0.052428013500596296
202308-202402,loser,14,0.08815946055547474
202308-202402,winner,14,0.08947706388993536
202309-202403,loser,14,0.07581802700629496
202309-202403,winner,14,-0.07719124283429331
