,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2016-12-01,2330,13923341,2540480903,182.0,183.0,181.5,183.0,0.0,6514
1,2016-12-02,2330,53946366,9634395330,179.0,179.5,178.0,178.0,-5.0,21618
2,2016-12-05,2330,32249536,5771614169,178.0,180.0,178.0,179.0,1.0,10198
3,2016-12-06,2330,27728861,5051414702,181.0,183.0,180.5,182.0,3.0,10430
4,2016-12-07,2330,14529260,2645149219,183.0,183.5,181.5,181.5,-0.5,5127
5,2016-12-08,2330,27276757,5030766288,184.0,185.5,183.0,185.5,4.0,11258
6,2016-12-09,2330,24890768,4618750580,186.0,186.0,184.5,186.0,0.5,8116
7,2016-12-12,2330,18817929,3494579936,186.0,187.0,184.0,185.0,-1.0,6853
8,2016-12-13,2330,23692594,4398859330,186.5,186.5,184.5,186.0,1.0,7561
9,2016-12-14,2330,16768971,3131823106,186.5,187.5,185.5,187.5,1.5,6485
10,2016-12-15,2330,24244941,4508246366,185.0,187.5,184.5,187.0,-0.5,6135
11,2016-12-16,2330,36266938,6720634530,185.5,187.0,185.0,185.0,-2.0,7994
12,2016-12-19,2330,20553355,3763429465,184.0,184.5,182.5,182.5,-2.5,7956
13,2016-12-20,2330,24243414,4394840051,181.0,182.5,180.0,182.5,0.0,10223
14,2016-12-21,2330,32234176,5828554894,181.0,182.0,180.0,180.0,-2.5,11377
15,2016-12-22,2330,26509271,4758580950,180.0,180.5,179.0,179.0,-1.0,10768
16,2016-12-23,2330,24376885,4359360001,179.0,180.0,178.5,178.5,-0.5,9298
17,2016-12-26,2330,5694358,1021265940,179.0,180.0,179.0,179.5,1.0,3404
18,2016-12-27,2330,8276087,1488495160,180.0,180.5,179.5,180.0,0.5,4246
19,2016-12-28,2330,21441126,3896591783,181.0,182.0,180.5,182.0,2.0,7026
20,2016-12-29,2330,30211764,5453513284,180.0,181.5,180.0,180.0,-2.0,10947
21,2016-12-30,2330,36748382,6647442778,181.0,182.5,180.0,181.5,1.5,11638
22,2017-01-03,2330,23550783,4300648272,181.5,183.5,181.0,183.0,1.5,8743
23,2017-01-04,2330,24482374,4478699942,183.0,184.0,181.5,183.0,0.0,8476
24,2017-01-05,2330,21373561,3913389163,182.0,183.5,181.5,183.5,0.5,8297
25,2017-01-06,2330,23120808,4250912732,184.0,184.5,183.5,184.0,0.5,9659
26,2017-01-09,2330,18583788,3419409204,184.0,185.0,183.0,184.0,0.0,5759
27,2017-01-10,2330,20691305,3811496280,184.5,185.5,183.5,184.0,0.0,7831
28,2017-01-11,2330,29747168,5438136536,185.0,185.0,181.5,182.0,-2.0,10509
29,2017-01-12,2330,48599502,8959263194,182.5,185.5,182.5,184.5,2.5,13220
30,2017-01-13,2330,53089358,9622624651,180.5,182.5,180.5,181.5,-3.0,16366
31,2017-01-16,2330,30878049,5545432320,180.0,180.5,179.0,179.5,-2.0,13441
32,2017-01-17,2330,13207419,2386575839,180.5,181.0,179.5,181.0,1.5,5771
33,2017-01-18,2330,23810637,4292682797,180.5,181.0,179.5,181.0,0.0,7783
34,2017-01-19,2330,25935613,4673783621,179.5,181.0,179.5,180.5,-0.5,8400
35,2017-01-20,2330,42317086,7658563990,181.0,181.5,180.5,181.0,0.5,7803
36,2017-01-23,2330,58299156,10699572592,182.5,185.0,182.5,185.0,4.0,13560
37,2017-01-24,2330,72014239,13356900945,185.0,186.5,184.5,185.5,0.5,14227
38,2017-02-02,2330,153703780,28731441750,188.0,188.5,184.0,184.5,-1.0,21047
39,2017-02-03,2330,30387652,5604884683,186.0,186.0,183.5,184.5,0.0,8079
40,2017-02-06,2330,29702832,5476151588,184.5,185.5,184.0,184.5,0.0,8330
41,2017-02-07,2330,23981988,4418689272,183.5,185.0,183.0,184.5,0.0,8712
42,2017-02-08,2330,45607272,8371548478,183.5,184.5,183.0,183.5,-1.0,8245
43,2017-02-09,2330,23419788,4320161722,184.0,185.5,183.5,184.0,0.5,6639
44,2017-02-10,2330,49257380,9113650300,184.5,185.5,184.0,185.5,1.5,9566
45,2017-02-13,2330,26155819,4904437753,186.5,188.0,186.5,187.5,2.0,10124
46,2017-02-14,2330,46716940,8798947193,189.0,190.0,187.5,187.5,0.0,11413
47,2017-02-15,2330,39928274,7528270012,187.0,189.5,186.5,189.0,1.5,12905
48,2017-02-16,2330,28371087,5360502302,190.0,190.5,188.0,189.0,0.0,9035
49,2017-02-17,2330,20407880,3870482337,190.0,190.5,189.0,189.5,0.5,7390
50,2017-02-18,2330,3517102,667392778,190.0,190.5,189.5,189.5,0.0,1771
51,2017-02-20,2330,13280401,2523599428,190.0,190.5,189.5,190.0,0.5,6466
52,2017-02-21,2330,31987532,6058373156,190.0,190.0,188.5,190.0,0.0,8646
53,2017-02-22,2330,26144905,4946742296,190.5,191.0,188.5,188.5,-1.5,6199
54,2017-02-23,2330,36095621,6809495260,188.0,189.5,187.0,188.5,0.0,7885
55,2017-02-24,2330,26177021,4945608983,187.5,190.5,187.5,189.0,0.5,7417
56,2017-03-01,2330,48263273,9041728541,188.5,188.5,186.0,186.0,-3.0,12019
57,2017-03-02,2330,40879671,7603470296,188.0,188.5,185.0,186.0,0.0,12567
58,2017-03-03,2330,28213610,5199920850,184.5,185.0,184.0,184.0,-2.0,11570
59,2017-03-06,2330,12633329,2321087036,184.0,184.5,183.5,183.5,-0.5,5831
60,2017-03-07,2330,22816387,4214029230,184.0,185.5,184.0,185.5,2.0,5824
61,2017-03-08,2330,38657077,7217763409,186.0,188.0,185.5,187.0,1.5,9614
62,2017-03-09,2330,31119469,5750011305,185.5,186.0,184.0,184.5,-2.5,12394
63,2017-03-10,2330,24886297,4569391905,184.0,184.5,183.0,183.5,-1.0,10065
64,2017-03-13,2330,11025355,2048482530,185.0,186.5,185.0,186.5,3.0,4141
65,2017-03-14,2330,24373221,4564713486,188.0,188.0,186.0,186.0,-0.5,7773
66,2017-03-15,2330,14147168,2634475248,185.5,187.0,185.5,186.5,0.5,4952
67,2017-03-16,2330,32452964,6143253446,188.0,190.0,188.0,190.0,3.5,15071
68,2017-03-17,2330,38698064,7377279160,189.5,191.5,189.0,191.5,1.5,10731
69,2017-03-20,2330,16531620,3154243641,191.5,191.5,189.5,191.5,0.0,6790
70,2017-03-21,2330,33662234,6523324906,192.0,195.0,191.5,195.0,3.5,13192
71,2017-03-22,2330,27766559,5349879407,192.5,193.5,191.5,193.5,-1.5,9435
72,2017-03-23,2330,18831295,3628401625,192.0,193.5,192.0,193.5,0.0,6052
73,2017-03-24,2330,17722202,3408016684,192.0,193.0,192.0,192.5,-1.0,5225
74,2017-03-27,2330,29867998,5766195556,194.5,194.5,192.0,193.0,0.5,6963
75,2017-03-28,2330,39522318,7662549266,195.0,195.0,192.5,194.5,1.5,9380
76,2017-03-29,2330,33839400,6501685654,194.5,194.5,191.0,191.5,-3.0,11340
77,2017-03-30,2330,30716971,5884771607,192.5,193.0,190.5,191.5,0.0,9900
78,2017-03-31,2330,33996900,6457321080,191.0,192.0,189.0,189.0,-2.5,10225
79,2017-04-05,2330,45116406,8656195632,189.5,193.0,189.5,193.0,4.0,14224
80,2017-04-06,2330,17417037,3337417368,193.0,193.0,191.0,191.5,-1.5,6309
81,2017-04-07,2330,19066095,3624732655,192.0,192.0,188.5,191.0,-0.5,7861
82,2017-04-10,2330,17388929,3307523455,191.0,191.5,189.5,190.0,-1.0,6803
83,2017-04-11,2330,9788922,1862488347,190.0,191.0,189.0,191.0,1.0,3348
84,2017-04-12,2330,17418048,3321982188,190.5,191.5,190.0,191.0,0.0,5778
85,2017-04-13,2330,14796174,2829915284,189.5,192.0,189.5,191.5,0.5,5705
86,2017-04-14,2330,31317585,5909582565,189.5,189.5,188.0,189.0,-2.5,12442
87,2017-04-17,2330,17111522,3223517863,189.0,189.0,187.5,187.5,-1.5,7470
88,2017-04-18,2330,28732770,5411365190,188.0,189.5,187.5,188.0,0.5,6174
89,2017-04-19,2330,31171199,5828201425,187.5,187.5,186.5,186.5,-1.5,9427
90,2017-04-20,2330,32697485,6118457114,186.5,188.0,186.5,187.0,0.5,6751
91,2017-04-21,2330,19034232,3603058600,187.5,190.0,187.5,190.0,3.0,6966
92,2017-04-24,2330,29572675,5612973548,191.0,191.5,188.5,190.0,0.0,5428
93,2017-04-25,2330,31952889,6096631799,190.5,192.0,189.5,192.0,2.0,10510
94,2017-04-26,2330,31119972,5951704052,192.0,192.0,190.5,191.0,-1.0,10342
95,2017-04-27,2330,35812934,6877484808,192.0,193.0,190.5,193.0,2.0,9859
96,2017-04-28,2330,38381021,7446882120,193.5,194.5,193.0,194.5,1.5,11671
97,2017-05-02,2330,45851963,9053856108,198.5,199.0,195.5,196.5,2.0,15718
98,2017-05-03,2330,27240962,5390698304,198.0,198.5,197.0,198.0,1.5,9259
99,2017-05-04,2330,22194084,4394409518,198.5,199.0,197.0,198.0,0.0,8787
100,2017-05-05,2330,17618358,3484019026,197.0,198.5,197.0,197.5,-0.5,6078
101,2017-05-08,2330,39591009,7943498809,199.0,202.5,199.0,202.5,5.0,15190
102,2017-05-09,2330,48285324,9920879512,205.5,207.0,203.5,203.5,1.0,15467
103,2017-05-10,2330,31075759,6369713620,204.0,206.0,204.0,205.5,2.0,11094
104,2017-05-11,2330,44286097,9144772197,204.5,208.5,204.0,207.5,2.0,16478
105,2017-05-12,2330,25507045,5246098865,205.0,207.0,205.0,206.0,-1.5,7515
