date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2018-01-29,2891B,3104185,188439613,48.84,48.92,48.68,48.92,0.08,1278
2018-01-30,2891B,1089135,66345135,48.84,49.08,48.84,49.08,0.16,678
2018-01-31,2891B,290399,17698139,49.08,49.08,49.0,49.08,0.0,226
2018-02-01,2891B,169068,10301924,49.08,49.08,49.0,49.08,0.0,159
2018-02-02,2891B,1004138,61235688,49.08,49.08,49.0,49.0,-0.08,230
2018-02-05,2891B,736073,44857353,48.92,49.08,48.92,49.08,0.08,219
2018-02-06,2891B,397249,24148603,48.84,49.0,48.76,48.76,-0.32,283
2018-02-07,2891B,435202,26489731,48.76,49.0,48.76,48.92,0.16,347
2018-02-08,2891B,131881,8025059,48.92,49.0,48.92,48.92,0.0,112
2018-02-09,2891B,199675,12141634,48.84,49.0,48.84,48.92,0.0,128
2018-02-12,2891B,192080,11660646,48.76,48.92,48.76,48.84,-0.08,92
2018-02-21,2891B,396116,24039928,48.84,48.92,48.76,48.84,0.0,109
2018-02-22,2891B,229115,13914685,48.76,48.92,48.76,48.92,0.08,94
2018-02-23,2891B,261858,15940952,48.92,49.0,48.92,48.92,0.0,111
2018-02-26,2891B,112566,6847800,48.84,49.0,48.84,48.92,0.0,95
2018-02-27,2891B,1230485,74825076,49.0,49.0,48.92,48.92,0.0,180
2018-03-01,2891B,1441408,87646100,48.92,49.0,48.84,49.0,0.08,141
2018-03-02,2891B,65816,4006889,48.92,49.0,48.92,49.0,0.0,62
2018-03-05,2891B,100913,6144792,49.0,49.0,48.92,49.0,0.0,68
2018-03-06,2891B,79964,4868010,49.0,49.0,48.92,49.0,0.0,66
2018-03-07,2891B,66860,4069980,49.0,49.0,48.92,48.92,-0.08,62
2018-03-08,2891B,62962,3832480,48.92,49.0,48.92,48.92,0.0,65
2018-03-09,2891B,167280,10182015,48.92,49.0,48.92,48.92,0.0,103
2018-03-12,2891B,102550,6242225,49.0,49.0,48.92,48.92,0.0,105
2018-03-13,2891B,183317,11162160,48.92,49.0,48.92,48.92,0.0,92
2018-03-14,2891B,390942,23769269,48.92,48.92,48.92,48.92,0.0,83
2018-03-15,2891B,86708,5271569,48.92,48.92,48.84,48.92,0.0,61
2018-03-16,2891B,156628,9538313,48.92,49.08,48.92,48.92,0.0,116
2018-03-19,2891B,102369,6233728,48.92,49.0,48.92,49.0,0.08,58
2018-03-20,2891B,58355,3551577,49.0,49.0,48.92,48.92,-0.08,60
2018-03-21,2891B,50762,3086400,48.92,48.92,48.92,48.92,0.0,41
2018-03-22,2891B,45965,2794766,48.92,49.0,48.92,48.92,0.0,54
2018-03-23,2891B,32611,1981583,48.92,48.92,48.84,48.84,-0.08,38
2018-03-26,2891B,208654,12683994,48.84,48.92,48.84,48.92,0.08,56
2018-03-27,2891B,57282,3483013,48.92,49.0,48.92,48.92,0.0,36
2018-03-28,2891B,62192,3781969,48.92,49.0,48.92,48.92,0.0,41
2018-03-29,2891B,212291,12918019,48.92,49.0,48.92,49.0,0.08,55
2018-03-30,2891B,137828,8403939,49.0,49.08,49.0,49.08,0.08,83
2018-03-31,2891B,37573,2290237,49.0,49.08,49.0,49.0,-0.08,33
2018-04-02,2891B,38645,2353711,49.0,49.08,49.0,49.0,0.0,38
2018-04-03,2891B,179583,10952099,49.0,49.16,49.0,49.0,0.0,73
2018-04-09,2891B,154305,9411970,49.0,49.08,49.0,49.0,0.0,69
2018-04-10,2891B,97217,5930069,49.08,49.08,49.0,49.08,0.08,32
2018-04-11,2891B,161951,9878810,49.08,49.08,49.0,49.08,0.0,63
2018-04-12,2891B,78428,4784108,49.08,49.08,49.08,49.08,0.0,64
2018-04-13,2891B,28312,1726897,49.08,49.08,49.08,49.08,0.0,29
2018-04-16,2891B,54308,3318988,49.08,49.24,49.08,49.24,0.16,53
2018-04-17,2891B,24899,1521222,49.16,49.16,49.08,49.08,-0.16,34
2018-04-18,2891B,22890,1398490,49.16,49.16,49.16,49.16,0.08,22
2018-04-19,2891B,8035,490935,49.16,49.16,49.16,49.16,0.0,10
2018-04-20,2891B,11366,694426,49.16,49.16,49.16,49.16,0.0,16
2018-04-23,2891B,48419,2966135,49.24,49.32,49.24,49.24,0.08,53
2018-04-24,2891B,32411,1985546,49.32,49.32,49.24,49.24,0.0,38
2018-04-25,2891B,137895,8438995,49.24,49.24,49.24,49.24,0.0,26
2018-04-26,2891B,28030,1715525,49.24,49.32,49.24,49.24,0.0,42
2018-04-27,2891B,18930,1160312,49.32,49.32,49.32,49.32,0.08,31
2018-04-30,2891B,55291,3394205,49.32,49.48,49.24,49.48,0.16,54
2018-05-02,2891B,48956,3008393,49.48,49.48,49.4,49.4,-0.08,43
2018-05-03,2891B,37799,2323496,49.48,49.48,49.4,49.4,0.0,28
