stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank,start_date2,SD_close2,end_date2,ED_close2,return2,avg_monthly_return,annualized_return
1303,2010-01-04,2010-03-31,29.66,33.37,201001-201004,0.12508429,70.3955987619756,winner,7.0,2010-04-08,34.5,2010-07-07,28.32,-0.17913043478260868,-0.06367909908510239,-0.5459573855176334
1314,2010-01-04,2010-03-31,7.15,7.74,201001-201004,0.08251748,63.02469079044168,winner,11.0,2010-04-08,7.83,2010-07-07,9.21,0.17624521072796945,0.05559977597475352,0.9142183386566534
1326,2010-01-04,2010-03-31,35.16,37.92,201001-201004,0.07849829,62.32872415328683,winner,12.0,2010-04-08,38.63,2010-07-07,39.09,0.011907843644835641,0.003953629429308991,0.048488929100926725
2014,2010-01-04,2010-03-31,14.37,12.03,201001-201004,-0.16283925,20.538493750388643,loser,140.0,2010-04-08,12.27,2010-07-07,10.45,-0.14832925835370825,-0.05211152568065758,-0.47387745665950487
2101,2010-01-04,2010-03-31,26.65,29.08,201001-201004,0.09118199,64.52504531145078,winner,10.0,2010-04-08,29.96,2010-07-07,25.55,-0.14719626168224298,-0.051691379509823165,-0.47107221461250703
2337,2010-01-04,2010-03-31,25.17,29.37,201001-201004,0.16686532,77.6304403459679,winner,4.0,2010-04-08,29.93,2010-07-07,30.35,0.014032743067156756,0.004655870252611605,0.05732357150515943
2362,2010-01-04,2010-03-31,28.41,36.47,201001-201004,0.28370292,97.86214662639844,winner,1.0,2010-04-08,37.01,2010-07-07,37.85,0.022696568495001443,0.007508996669021828,0.09392411178852633
2374,2010-01-04,2010-03-31,41.68,35.5,201001-201004,-0.14827255,23.06087692049097,loser,136.0,2010-04-08,35.43,2010-07-07,34.02,-0.039796782387806845,-0.013445567160988658,-0.14993403586031484
2385,2010-01-04,2010-03-31,25.27,27.73,201001-201004,0.09734863,65.59286636577879,winner,9.0,2010-04-08,29.04,2010-07-07,24.68,-0.15013774104683195,-0.052782933311012914,-0.4783320286442242
2392,2010-01-04,2010-03-31,36.03,30.52,201001-201004,-0.15292812,22.254714137209007,loser,137.0,2010-04-08,31.49,2010-07-07,27.73,-0.11940298507462681,-0.04149936930549303,-0.39867558732836694
2393,2010-01-04,2010-03-31,52.35,43.93,201001-201004,-0.1608405,20.884599138791096,loser,139.0,2010-04-08,46.11,2010-07-07,40.01,-0.13229234439384085,-0.04619892029633632,-0.4331166301904783
2458,2010-01-04,2010-03-31,40.07,33.38,201001-201004,-0.16695782,19.82531838102644,loser,142.0,2010-04-08,34.44,2010-07-07,30.68,-0.10917537746806034,-0.037802839739916494,-0.37024902293738227
2475,2010-01-04,2010-03-31,4.37,3.63,201001-201004,-0.16933638,19.41344474368383,loser,143.0,2010-04-08,3.76,2010-07-07,1.97,-0.476063829787234,-0.19383093860908107,-0.9246447482759855
2618,2010-01-04,2010-03-31,8.13,8.68,201001-201004,0.06765068,60.45034202831455,winner,14.0,2010-04-08,8.59,2010-07-07,11.73,0.3655413271245635,0.1094343700225675,2.477117711137538
2707,2010-01-04,2010-03-31,118.41,100.12,201001-201004,-0.15446331,21.98887922477796,loser,138.0,2010-04-08,101.27,2010-07-07,129.36,0.2773773081860375,0.08502496864993137,1.6624213526770761
