date,stock_id,market_value
2005-01-03,2002A,1696083500.0
2005-01-04,2002A,1691305800.0
2005-01-05,2002A,1681750400.0
2005-01-06,2002A,1681750400.0
2005-01-07,2002A,1696083500.0
2005-01-10,2002A,1676972700.0
2005-01-11,2002A,1691305800.0
2005-01-12,2002A,1681750400.0
2005-01-13,2002A,1681750400.0
2005-01-14,2002A,1691305800.0
2005-01-17,2002A,1696083500.0
2005-01-18,2002A,1705638900.0
2005-01-19,2002A,1691305800.0
2005-01-20,2002A,1676972700.0
2005-01-21,2002A,1676972700.0
2005-01-24,2002A,1667417300.0
2005-01-25,2002A,1667417300.0
2005-01-26,2002A,1681750400.0
2005-01-27,2002A,1672195000.0
2005-01-28,2002A,1686528100.0
2005-01-31,2002A,1686528100.0
2005-02-01,2002A,1686528100.0
2005-02-02,2002A,1686528100.0
2005-02-03,2002A,1696083500.0
2005-02-14,2002A,1715194300.0
2005-02-15,2002A,1710416600.0
2005-02-16,2002A,1715194300.0
2005-02-17,2002A,1715194300.0
2005-02-18,2002A,1719972000.0
2005-02-21,2002A,1729527400.0
2005-02-22,2002A,1729527400.0
2005-02-23,2002A,1724749700.0
2005-02-24,2002A,1729527400.0
2005-02-25,2002A,1748638200.0
2005-03-01,2002A,1772526700.0
2005-03-02,2002A,1758193600.0
2005-03-03,2002A,1758193600.0
2005-03-04,2002A,1762971300.0
2005-03-07,2002A,1767749000.0
2005-03-08,2002A,1729527400.0
2005-03-09,2002A,1729527400.0
2005-03-10,2002A,1708027750.0
2005-03-11,2002A,1703250050.0
2005-03-14,2002A,1698472350.0
2005-03-15,2002A,1693694650.0
2005-03-16,2002A,1700861200.0
2005-03-17,2002A,1717583150.0
2005-03-18,2002A,1724749700.0
2005-03-21,2002A,1729527400.0
2005-03-22,2002A,1719972000.0
2005-03-23,2002A,1715194300.0
2005-03-24,2002A,1700861200.0
2005-03-25,2002A,1691305800.0
2005-03-28,2002A,1705638900.0
2005-03-29,2002A,1700861200.0
2005-03-30,2002A,1700861200.0
2005-03-31,2002A,1693694650.0
2005-04-01,2002A,1688916950.0
2005-04-04,2002A,1700861200.0
2005-04-06,2002A,1686528100.0
2005-04-07,2002A,1691305800.0
2005-04-08,2002A,1691305800.0
2005-04-11,2002A,1691305800.0
2005-04-12,2002A,1691305800.0
2005-04-13,2002A,1691305800.0
2005-04-14,2002A,1691305800.0
2005-04-15,2002A,1638751100.0
2005-04-18,2002A,1576641000.0
2005-04-19,2002A,1576641000.0
2005-04-20,2002A,1581418700.0
2005-04-21,2002A,1581418700.0
2005-04-22,2002A,1576641000.0
2005-04-25,2002A,1555141350.0
2005-04-26,2002A,1624418000.0
2005-04-27,2002A,1569474450.0
2005-04-28,2002A,1574252150.0
2005-04-29,2002A,1562307900.0
2005-05-03,2002A,1564696750.0
2005-05-04,2002A,1574252150.0
2005-05-05,2002A,1590974100.0
2005-05-06,2002A,1602918350.0
2005-05-09,2002A,1586196400.0
2005-05-10,2002A,1579029850.0
2005-05-11,2002A,1571863300.0
2005-05-12,2002A,1569474450.0
2005-05-13,2002A,1574252150.0
2005-05-16,2002A,1550363650.0
2005-05-17,2002A,1569474450.0
2005-05-18,2002A,1569474450.0
2005-05-19,2002A,1569474450.0
2005-05-20,2002A,1567085600.0
2005-05-23,2002A,1562307900.0
2005-05-24,2002A,1567085600.0
2005-05-25,2002A,1569474450.0
2005-05-26,2002A,1569474450.0
2005-05-27,2002A,1571863300.0
2005-05-30,2002A,1562307900.0
2005-05-31,2002A,1545585950.0
2005-06-01,2002A,1547974800.0
2005-06-02,2002A,1555141350.0
2005-06-03,2002A,1562307900.0
2005-06-06,2002A,1559919050.0
2005-06-07,2002A,1569474450.0
2005-06-08,2002A,1569474450.0
2005-06-09,2002A,1567085600.0
2005-06-10,2002A,1564696750.0
2005-06-13,2002A,1564696750.0
2005-06-14,2002A,1564696750.0
2005-06-15,2002A,1576641000.0
2005-06-16,2002A,1576641000.0
2005-06-17,2002A,1581418700.0
2005-06-20,2002A,1610084900.0
2005-06-21,2002A,1605307200.0
2005-06-22,2002A,1605307200.0
2005-06-23,2002A,1614862600.0
2005-06-24,2002A,1595751800.0
2005-06-27,2002A,1590974100.0
2005-06-28,2002A,1600529500.0
2005-06-29,2002A,1586196400.0
2005-06-30,2002A,1595751800.0
2005-07-01,2002A,1595751800.0
2005-07-04,2002A,1590974100.0
2005-07-05,2002A,1590974100.0
2005-07-06,2002A,1610084900.0
2005-07-07,2002A,1595751800.0
2005-07-08,2002A,1590974100.0
2005-07-11,2002A,1590974100.0
2005-07-12,2002A,1624418000.0
2005-07-13,2002A,1619640300.0
2005-07-14,2002A,1624418000.0
2005-07-15,2002A,1633973400.0
2005-07-19,2002A,1624418000.0
2005-07-20,2002A,1624418000.0
2005-07-21,2002A,1629195700.0
2005-07-22,2002A,1636362250.0
2005-07-25,2002A,1648306500.0
2005-07-26,2002A,1404643800.0
2005-07-27,2002A,1399866100.0
2005-07-28,2002A,1385533000.0
2005-07-29,2002A,1375977600.0
2005-08-01,2002A,1361644500.0
2005-08-02,2002A,1366422200.0
2005-08-03,2002A,1378366450.0
2005-08-04,2002A,1402254950.0
2005-08-08,2002A,1399866100.0
2005-08-09,2002A,1380755300.0
2005-08-10,2002A,1385533000.0
2005-08-11,2002A,1383144150.0
2005-08-12,2002A,1404643800.0
2005-08-15,2002A,1407032650.0
2005-08-16,2002A,1414199200.0
2005-08-17,2002A,1416588050.0
2005-08-18,2002A,1418976900.0
2005-08-19,2002A,1409421500.0
2005-08-22,2002A,1414199200.0
2005-08-23,2002A,1433310000.0
2005-08-24,2002A,1411810350.0
2005-08-25,2002A,1411810350.0
2005-08-26,2002A,1418976900.0
2005-08-29,2002A,1416588050.0
2005-08-30,2002A,1421365750.0
2005-08-31,2002A,1395088400.0
2005-09-02,2002A,1433310000.0
2005-09-05,2002A,1433310000.0
2005-09-06,2002A,1433310000.0
2005-09-07,2002A,1433310000.0
2005-09-08,2002A,1438087700.0
2005-09-09,2002A,1438087700.0
2005-09-12,2002A,1442865400.0
2005-09-13,2002A,1447643100.0
2005-09-14,2002A,1457198500.0
2005-09-15,2002A,1447643100.0
2005-09-16,2002A,1445254250.0
2005-09-19,2002A,1461976200.0
2005-09-20,2002A,1504975500.0
2005-09-21,2002A,1466753900.0
2005-09-22,2002A,1461976200.0
2005-09-23,2002A,1447643100.0
2005-09-26,2002A,1457198500.0
2005-09-27,2002A,1466753900.0
2005-09-28,2002A,1447643100.0
2005-09-29,2002A,1452420800.0
2005-09-30,2002A,1464365050.0
2005-10-03,2002A,1442865400.0
2005-10-04,2002A,1450031950.0
2005-10-05,2002A,1433310000.0
2005-10-06,2002A,1438087700.0
2005-10-07,2002A,1442865400.0
2005-10-11,2002A,1416588050.0
2005-10-12,2002A,1409421500.0
2005-10-13,2002A,1404643800.0
2005-10-14,2002A,1404643800.0
2005-10-17,2002A,1397477250.0
2005-10-18,2002A,1414199200.0
2005-10-19,2002A,1399866100.0
2005-10-20,2002A,1395088400.0
2005-10-21,2002A,1383144150.0
2005-10-24,2002A,1378366450.0
2005-10-25,2002A,1385533000.0
2005-10-26,2002A,1385533000.0
2005-10-27,2002A,1383144150.0
2005-10-28,2002A,1385533000.0
2005-10-31,2002A,1395088400.0
2005-11-01,2002A,1399866100.0
2005-11-02,2002A,1414199200.0
2005-11-03,2002A,1409421500.0
2005-11-04,2002A,1409421500.0
2005-11-07,2002A,1397477250.0
2005-11-08,2002A,1385533000.0
2005-11-09,2002A,1380755300.0
2005-11-10,2002A,1383144150.0
