combination,remark,count,mean_avg_monthly_return
201001-201007,loser,14,-0.0017360794003663288
201001-201007,winner,14,0.022187580970232507
201001-201007,winner - loser,-,0.023923660370598836
201002-201008,loser,14,-0.016325281745570908
201002-201008,winner,14,0.013874927934471513
201002-201008,winner - loser,-,0.03020020968004242
201003-201009,loser,14,-0.021512443250745757
201003-201009,winner,14,0.0017970005510463682
201003-201009,winner - loser,-,0.023309443801792125
201004-201010,loser,14,-0.03833284321526918
201004-201010,winner,14,-0.011221082002887175
201004-201010,winner - loser,-,0.027111761212382006
201005-201011,loser,14,-0.04093908330032886
201005-201011,winner,14,-0.015493974989952317
201005-201011,winner - loser,-,0.025445108310376545
201006-201012,loser,14,-0.041779624174049415
201006-201012,winner,14,-0.03135773792281118
201006-201012,winner - loser,-,0.010421886251238237
201007-201101,loser,14,-0.048628927858461166
201007-201101,winner,14,-0.028366270485155116
201007-201101,winner - loser,-,0.02026265737330605
201008-201102,loser,14,-0.03304382334871518
201008-201102,winner,14,-0.017602725950162174
201008-201102,winner - loser,-,0.015441097398553007
201009-201103,loser,14,-0.021977080319472955
201009-201103,winner,14,-0.0010584687994560122
201009-201103,winner - loser,-,0.020918611520016943
201010-201104,loser,14,-0.01643242236300067
201010-201104,winner,13,-0.017119565948881813
201010-201104,winner - loser,-,-0.0006871435858811434
201011-201105,loser,14,-0.025626240016608088
201011-201105,winner,14,-0.027454596474221906
201011-201105,winner - loser,-,-0.001828356457613818
201012-201106,loser,14,-0.04014559729818725
201012-201106,winner,14,-0.023825050891699524
201012-201106,winner - loser,-,0.016320546406487727
201101-201107,loser,14,-0.028725036538414343
201101-201107,winner,14,-0.01430029646844505
201101-201107,winner - loser,-,0.014424740069969293
201102-201108,loser,14,-0.03760951196913359
201102-201108,winner,14,-0.01844998449605085
201102-201108,winner - loser,-,0.019159527473082742
201103-201109,loser,14,-0.02964520897884845
201103-201109,winner,14,-0.011489719140319163
201103-201109,winner - loser,-,0.018155489838529285
201104-201110,loser,14,-0.010505027599686753
201104-201110,winner,14,0.016822115779602458
201104-201110,winner - loser,-,0.02732714337928921
201105-201111,loser,14,-0.020502506748890696
201105-201111,winner,14,0.001368651265219099
201105-201111,winner - loser,-,0.021871158014109795
201106-201112,loser,14,-0.006372090923827027
201106-201112,winner,14,0.017071721928543924
201106-201112,winner - loser,-,0.023443812852370953
201107-201201,loser,14,0.0001655802724363339
201107-201201,winner,14,0.013203842369448548
201107-201201,winner - loser,-,0.013038262097012214
201108-201202,loser,14,-0.0015190706756361297
201108-201202,winner,14,0.010660815831896406
201108-201202,winner - loser,-,0.012179886507532536
201109-201203,loser,14,-0.016561237493499723
201109-201203,winner,14,-0.008810377133734639
201109-201203,winner - loser,-,0.007750860359765084
201110-201204,loser,14,-0.004501277628391452
201110-201204,winner,14,-0.0030447949136127345
201110-201204,winner - loser,-,0.0014564827147787178
201111-201205,loser,14,0.002494455409256905
201111-201205,winner,14,0.01605921076754485
201111-201205,winner - loser,-,0.013564755358287946
201112-201206,loser,14,0.0065303256980723656
201112-201206,winner,14,0.018236384122245677
201112-201206,winner - loser,-,0.011706058424173311
201201-201207,loser,14,0.0015233883807018258
201201-201207,winner,14,0.011185474912238005
201201-201207,winner - loser,-,0.009662086531536178
201202-201208,loser,14,0.003055854120392633
201202-201208,winner,14,0.017425826770617905
201202-201208,winner - loser,-,0.014369972650225271
201203-201209,loser,14,-0.002011474247871966
201203-201209,winner,14,0.017472051502949924
201203-201209,winner - loser,-,0.01948352575082189
201204-201210,loser,14,0.011916370914902275
201204-201210,winner,14,0.01299583361168186
201204-201210,winner - loser,-,0.0010794626967795852
201205-201211,loser,14,0.029994755257061308
201205-201211,winner,14,0.01765880532612427
201205-201211,winner - loser,-,-0.012335949930937038
201206-201212,loser,14,0.003012270415549142
201206-201212,winner,14,0.013413274663065229
201206-201212,winner - loser,-,0.010401004247516086
201207-201301,loser,14,0.0015748605123210382
201207-201301,winner,14,0.0010515100343585018
201207-201301,winner - loser,-,-0.0005233504779625364
201208-201302,loser,14,0.0038682784659383857
201208-201302,winner,14,0.003530582878515019
201208-201302,winner - loser,-,-0.00033769558742336673
201209-201303,loser,14,-0.0003684204605211572
201209-201303,winner,14,0.00041865549201527567
201209-201303,winner - loser,-,0.0007870759525364329
201210-201304,loser,14,-0.005633248547300732
201210-201304,winner,14,0.011946801668699594
201210-201304,winner - loser,-,0.017580050216000325
201211-201305,loser,14,-0.0011824222750709823
201211-201305,winner,14,-0.004142615402137784
201211-201305,winner - loser,-,-0.0029601931270668014
201212-201306,loser,14,0.008249486336357224
201212-201306,winner,13,0.003126385543113602
201212-201306,winner - loser,-,-0.005123100793243622
201301-201307,loser,14,0.013081124365969754
201301-201307,winner,13,0.015303113563356896
201301-201307,winner - loser,-,0.002221989197387142
201302-201308,loser,14,0.00833340889006359
201302-201308,winner,14,0.017871909634243684
201302-201308,winner - loser,-,0.009538500744180094
201303-201309,loser,14,0.0071752048199017005
201303-201309,winner,14,0.019239145348055757
201303-201309,winner - loser,-,0.012063940528154057
201304-201310,loser,14,-0.002674401749673229
201304-201310,winner,14,0.012728303164813834
201304-201310,winner - loser,-,0.015402704914487064
201305-201311,loser,14,0.0019533527030417474
201305-201311,winner,13,-0.0006531222317035854
201305-201311,winner - loser,-,-0.002606474934745333
201306-201312,loser,14,0.0033083246843756487
201306-201312,winner,12,-0.003910655549240176
201306-201312,winner - loser,-,-0.0072189802336158244
201307-201401,loser,13,0.018350104299334112
201307-201401,winner,13,0.007015034926851533
201307-201401,winner - loser,-,-0.01133506937248258
201308-201402,loser,14,0.0086325891090936
201308-201402,winner,13,0.0029416828859708363
201308-201402,winner - loser,-,-0.005690906223122764
201309-201403,loser,14,0.013096462191054361
201309-201403,winner,13,0.0011951148766012715
201309-201403,winner - loser,-,-0.01190134731445309
201310-201404,loser,14,0.010291326172037605
201310-201404,winner,14,0.01127089943438801
201310-201404,winner - loser,-,0.0009795732623504062
201311-201405,loser,14,-0.007620971305951201
201311-201405,winner,14,0.0050031023093045635
201311-201405,winner - loser,-,0.012624073615255764
201312-201406,loser,14,-0.0009296720416589148
201312-201406,winner,14,-0.0025737977171170607
201312-201406,winner - loser,-,-0.0016441256754581458
201401-201407,loser,14,-0.010210263376551018
201401-201407,winner,14,-0.006252394318956903
201401-201407,winner - loser,-,0.003957869057594115
201402-201408,loser,14,-0.01767917970928084
201402-201408,winner,14,-0.01826764285137952
201402-201408,winner - loser,-,-0.0005884631420986809
201403-201409,loser,14,-0.01893375859685217
201403-201409,winner,14,-0.020073073481314423
201403-201409,winner - loser,-,-0.0011393148844622523
201404-201410,loser,14,-0.01730579791935281
201404-201410,winner,14,-0.01266204811590414
201404-201410,winner - loser,-,0.0046437498034486695
201405-201411,loser,14,-0.011977337651481465
201405-201411,winner,14,-0.015853800193759322
201405-201411,winner - loser,-,-0.003876462542277857
201406-201412,loser,14,-0.014513438166013026
201406-201412,winner,14,-0.013572560936983249
201406-201412,winner - loser,-,0.0009408772290297775
201407-201501,loser,14,-0.016764133943795174
201407-201501,winner,14,-0.018379262213564538
201407-201501,winner - loser,-,-0.0016151282697693635
201408-201502,loser,14,-0.019556663558453473
201408-201502,winner,14,-0.018539062411221125
201408-201502,winner - loser,-,0.0010176011472323478
201409-201503,loser,14,-0.01864155962034973
201409-201503,winner,14,-0.014947614882479199
201409-201503,winner - loser,-,0.0036939447378705297
201410-201504,loser,14,-0.027831250628236492
201410-201504,winner,14,-0.022029806433594683
201410-201504,winner - loser,-,0.005801444194641809
201411-201505,loser,14,-0.02675961399465857
201411-201505,winner,14,-0.03003984529566745
201411-201505,winner - loser,-,-0.0032802313010088825
201412-201506,loser,14,-0.016022210598558097
201412-201506,winner,14,-0.025685843901014107
201412-201506,winner - loser,-,-0.00966363330245601
201501-201507,loser,14,-0.013602386888856772
201501-201507,winner,14,-0.02128969493311849
201501-201507,winner - loser,-,-0.007687308044261718
201502-201508,loser,14,0.012793474760337582
201502-201508,winner,13,-0.007056757904919706
201502-201508,winner - loser,-,-0.01985023266525729
201503-201509,loser,14,0.01050052429415066
201503-201509,winner,13,-0.002401877442720545
201503-201509,winner - loser,-,-0.012902401736871204
201504-201510,loser,14,0.007326236194814143
