date,stock_id,market_value
2022-01-03,2881A,37920000000.0
2022-01-04,2881A,37980000000.0
2022-01-05,2881A,37980000000.0
2022-01-06,2881A,37920000000.0
2022-01-07,2881A,37920000000.0
2022-01-10,2881A,37920000000.0
2022-01-11,2881A,37920000000.0
2022-01-12,2881A,37920000000.0
2022-01-13,2881A,37920000000.0
2022-01-14,2881A,37920000000.0
2022-01-17,2881A,37980000000.0
2022-01-18,2881A,37920000000.0
2022-01-19,2881A,37980000000.0
2022-01-20,2881A,37980000000.0
2022-01-21,2881A,37980000000.0
2022-01-24,2881A,37980000000.0
2022-01-25,2881A,38040000000.0
2022-01-26,2881A,38040000000.0
2022-02-07,2881A,37980000000.0
2022-02-08,2881A,37980000000.0
2022-02-09,2881A,38040000000.0
2022-02-10,2881A,37980000000.0
2022-02-11,2881A,38040000000.0
2022-02-14,2881A,37980000000.0
2022-02-15,2881A,38040000000.0
2022-02-16,2881A,38040000000.0
2022-02-17,2881A,38040000000.0
2022-02-18,2881A,38040000000.0
2022-02-21,2881A,38040000000.0
2022-02-22,2881A,38040000000.0
2022-02-23,2881A,38100000000.0
2022-02-24,2881A,38100000000.0
2022-02-25,2881A,38100000000.0
2022-03-01,2881A,37980000000.0
2022-03-02,2881A,37980000000.0
2022-03-03,2881A,37980000000.0
2022-03-04,2881A,37980000000.0
2022-03-07,2881A,37980000000.0
2022-03-08,2881A,37860000000.0
2022-03-09,2881A,37800000000.0
2022-03-10,2881A,37800000000.0
2022-03-11,2881A,37740000000.0
2022-03-14,2881A,37740000000.0
2022-03-15,2881A,37740000000.0
2022-03-16,2881A,37740000000.0
2022-03-17,2881A,37680000000.0
2022-03-18,2881A,37740000000.0
2022-03-21,2881A,37740000000.0
2022-03-22,2881A,37860000000.0
2022-03-23,2881A,37860000000.0
2022-03-24,2881A,37920000000.0
2022-03-25,2881A,37860000000.0
2022-03-28,2881A,37860000000.0
2022-03-29,2881A,37800000000.0
2022-03-30,2881A,37920000000.0
2022-03-31,2881A,37920000000.0
2022-04-01,2881A,37860000000.0
2022-04-06,2881A,37740000000.0
2022-04-07,2881A,37620000000.0
2022-04-08,2881A,37680000000.0
2022-04-11,2881A,37680000000.0
2022-04-12,2881A,37740000000.0
2022-04-13,2881A,37740000000.0
2022-04-14,2881A,37800000000.0
2022-04-15,2881A,37800000000.0
2022-04-18,2881A,37800000000.0
2022-04-19,2881A,37740000000.0
2022-04-20,2881A,37740000000.0
2022-04-21,2881A,37800000000.0
2022-04-22,2881A,37740000000.0
2022-04-25,2881A,37740000000.0
2022-04-26,2881A,37860000000.0
2022-04-27,2881A,37800000000.0
2022-04-28,2881A,37800000000.0
2022-04-29,2881A,37860000000.0
2022-05-03,2881A,37800000000.0
2022-05-04,2881A,37920000000.0
2022-05-05,2881A,37920000000.0
2022-05-06,2881A,37920000000.0
2022-05-09,2881A,37860000000.0
2022-05-10,2881A,37920000000.0
2022-05-11,2881A,37740000000.0
2022-05-12,2881A,37740000000.0
2022-05-13,2881A,37740000000.0
2022-05-16,2881A,37800000000.0
2022-05-17,2881A,37680000000.0
2022-05-18,2881A,37800000000.0
2022-05-19,2881A,37740000000.0
2022-05-20,2881A,37740000000.0
2022-05-23,2881A,37680000000.0
2022-05-24,2881A,37680000000.0
2022-05-25,2881A,37680000000.0
2022-05-26,2881A,37680000000.0
2022-05-27,2881A,37740000000.0
2022-05-30,2881A,37800000000.0
2022-05-31,2881A,37860000000.0
2022-06-01,2881A,37800000000.0
2022-06-02,2881A,37800000000.0
2022-06-06,2881A,37800000000.0
2022-06-07,2881A,37860000000.0
2022-06-08,2881A,37920000000.0
2022-06-09,2881A,37920000000.0
2022-06-10,2881A,37920000000.0
2022-06-13,2881A,37920000000.0
2022-06-14,2881A,37920000000.0
2022-06-15,2881A,37920000000.0
2022-06-16,2881A,37980000000.0
2022-06-17,2881A,37920000000.0
2022-06-20,2881A,37920000000.0
2022-06-21,2881A,37920000000.0
2022-06-22,2881A,37860000000.0
2022-06-23,2881A,37860000000.0
2022-06-24,2881A,37860000000.0
2022-06-27,2881A,37920000000.0
2022-06-28,2881A,37860000000.0
2022-06-29,2881A,37800000000.0
2022-07-01,2881A,37860000000.0
2022-07-04,2881A,37860000000.0
2022-07-05,2881A,37920000000.0
2022-07-06,2881A,37860000000.0
2022-07-07,2881A,37860000000.0
2022-07-08,2881A,37860000000.0
2022-07-11,2881A,37800000000.0
2022-07-12,2881A,37800000000.0
2022-07-13,2881A,37800000000.0
2022-07-14,2881A,37860000000.0
2022-07-15,2881A,37860000000.0
2022-07-18,2881A,37860000000.0
2022-07-19,2881A,37860000000.0
2022-07-20,2881A,37860000000.0
2022-07-21,2881A,37920000000.0
2022-07-22,2881A,37980000000.0
2022-07-25,2881A,37980000000.0
2022-07-26,2881A,37980000000.0
2022-07-27,2881A,36600000000.0
2022-07-28,2881A,36660000000.0
2022-07-29,2881A,36780000000.0
2022-08-01,2881A,36780000000.0
2022-08-02,2881A,36720000000.0
2022-08-03,2881A,36660000000.0
2022-08-04,2881A,36660000000.0
2022-08-05,2881A,36780000000.0
2022-08-08,2881A,36780000000.0
2022-08-09,2881A,36780000000.0
2022-08-10,2881A,36720000000.0
2022-08-11,2881A,36720000000.0
2022-08-12,2881A,36780000000.0
2022-08-15,2881A,36720000000.0
2022-08-16,2881A,36720000000.0
2022-08-17,2881A,36720000000.0
2022-08-18,2881A,36720000000.0
2022-08-19,2881A,36840000000.0
2022-08-22,2881A,36840000000.0
2022-08-23,2881A,36840000000.0
2022-08-24,2881A,36780000000.0
2022-08-25,2881A,36780000000.0
2022-08-26,2881A,36780000000.0
2022-08-29,2881A,36780000000.0
2022-08-30,2881A,36720000000.0
2022-08-31,2881A,36660000000.0
2022-09-01,2881A,36660000000.0
2022-09-02,2881A,36720000000.0
2022-09-05,2881A,36660000000.0
2022-09-06,2881A,36600000000.0
2022-09-07,2881A,36600000000.0
2022-09-08,2881A,36600000000.0
2022-09-12,2881A,36540000000.0
2022-09-13,2881A,36540000000.0
2022-09-14,2881A,36540000000.0
2022-09-15,2881A,36540000000.0
2022-09-16,2881A,36360000000.0
2022-09-19,2881A,36300000000.0
2022-09-20,2881A,36180000000.0
2022-09-21,2881A,36120000000.0
2022-09-22,2881A,36120000000.0
2022-09-23,2881A,36000000000.0
2022-09-26,2881A,36000000000.0
2022-09-27,2881A,36060000000.0
2022-09-28,2881A,36000000000.0
2022-09-29,2881A,36000000000.0
2022-09-30,2881A,36060000000.0
2022-10-03,2881A,36000000000.0
2022-10-04,2881A,35880000000.0
2022-10-05,2881A,35940000000.0
2022-10-06,2881A,35820000000.0
2022-10-07,2881A,35760000000.0
2022-10-11,2881A,35400000000.0
2022-10-12,2881A,35400000000.0
2022-10-13,2881A,35100000000.0
2022-10-14,2881A,35160000000.0
2022-10-17,2881A,35100000000.0
2022-10-18,2881A,35160000000.0
2022-10-19,2881A,35100000000.0
2022-10-20,2881A,34980000000.0
2022-10-21,2881A,34980000000.0
2022-10-24,2881A,34920000000.0
2022-10-25,2881A,34740000000.0
2022-10-26,2881A,34620000000.0
2022-10-27,2881A,34620000000.0
2022-10-31,2881A,34800000000.0
2022-11-01,2881A,34980000000.0
2022-11-02,2881A,34980000000.0
2022-11-03,2881A,35100000000.0
2022-11-04,2881A,35160000000.0
2022-11-07,2881A,35460000000.0
2022-11-08,2881A,35580000000.0
2022-11-09,2881A,35580000000.0
2022-11-10,2881A,35580000000.0
2022-11-11,2881A,35640000000.0
2022-11-14,2881A,35820000000.0
2022-11-15,2881A,35940000000.0
2022-11-16,2881A,35940000000.0
2022-11-17,2881A,36060000000.0
2022-11-21,2881A,36000000000.0
2022-11-22,2881A,36060000000.0
2022-11-23,2881A,36000000000.0
2022-11-24,2881A,36000000000.0
2022-11-25,2881A,35940000000.0
2022-11-28,2881A,36060000000.0
2022-11-29,2881A,36120000000.0
2022-11-30,2881A,36180000000.0
2022-12-01,2881A,36180000000.0
2022-12-02,2881A,36300000000.0
2022-12-05,2881A,36480000000.0
2022-12-06,2881A,36480000000.0
2022-12-07,2881A,36480000000.0
2022-12-08,2881A,36480000000.0
2022-12-09,2881A,36600000000.0
2022-12-12,2881A,36540000000.0
2022-12-13,2881A,36540000000.0
2022-12-14,2881A,36600000000.0
2022-12-15,2881A,36660000000.0
2022-12-16,2881A,36660000000.0
2022-12-19,2881A,36660000000.0
2022-12-20,2881A,36420000000.0
2022-12-21,2881A,36420000000.0
2022-12-22,2881A,36360000000.0
2022-12-23,2881A,36360000000.0
2022-12-26,2881A,36360000000.0
2022-12-27,2881A,36420000000.0
2022-12-28,2881A,36360000000.0
2022-12-29,2881A,36240000000.0
2022-12-30,2881A,36240000000.0
