stock_id,year_month,mean_market_value,rank
1605,Jan-10,45886776021,75
1704,Jan-10,34240651194,101
1710,Jan-10,22248538020,137
1717,Jan-10,29730174178,112
1722,Jan-10,99464512000,43
1723,Jan-10,23573038140,129
1802,Jan-10,64927120582,62
1907,Jan-10,21379875486,144
2002,Jan-10,4.24072E+11,11
2006,Jan-10,29930643944,111
2014,Jan-10,23969146100,125
2015,Jan-10,29583985261,113
2101,Jan-10,29968261100,110
2103,Jan-10,30950638642,106
2105,Jan-10,1.21679E+11,34
2201,Jan-10,68537342546,60
2204,Jan-10,31245556319,105
2207,Jan-10,44360454853,78
2227,Jan-10,30204600000,108
2301,Jan-10,90944678556,47
2303,Jan-10,1.97569E+11,20
2308,Jan-10,2.65639E+11,15
2311,Jan-10,1.56837E+11,26
2315,Jan-10,21126899978,146
2317,Jan-10,1.12395E+12,2
2323,Jan-10,23587757254,127
2324,Jan-10,1.71007E+11,25
2325,Jan-10,1.11206E+11,37
2327,Jan-10,29014008753,115
2328,Jan-10,24271529033,122
2330,Jan-10,1.6065E+12,1
2337,Jan-10,64239543958,64
2344,Jan-10,30440192872,107
2347,Jan-10,99441628287,44
2349,Jan-10,22412705201,136
2350,Jan-10,21973908949,139
2352,Jan-10,35686294521,98
2353,Jan-10,2.32604E+11,17
2354,Jan-10,1.13583E+11,36
2356,Jan-10,49436631826,74
2357,Jan-10,1.90693E+11,21
2360,Jan-10,25055245680,120
2362,Jan-10,42825777269,81
2371,Jan-10,37231619653,94
2374,Jan-10,22771467170,134
2379,Jan-10,36827186815,95
2382,Jan-10,2.228E+11,18
2384,Jan-10,44558363364,76
2385,Jan-10,44304737423,79
2388,Jan-10,20719810683,150
2392,Jan-10,27423435446,118
2393,Jan-10,37412769311,93
2395,Jan-10,37560168672,92
2408,Jan-10,81654787834,50
2409,Jan-10,2.85449E+11,13
2412,Jan-10,6.43645E+11,4
2448,Jan-10,76963043692,54
2451,Jan-10,38598944470,89
2454,Jan-10,5.22367E+11,5
2474,Jan-10,52139200306,72
2475,Jan-10,40526457817,87
2489,Jan-10,22076121030,138
2498,Jan-10,4.39859E+11,9
2501,Jan-10,23980716601,124
2504,Jan-10,21414098486,143
2542,Jan-10,36573094727,96
2547,Jan-10,20954486062,148
2548,Jan-10,20860501942,149
2603,Jan-10,66325275169,61
2605,Jan-10,21774233329,141
2606,Jan-10,54130215120,70
2607,Jan-10,27403543009,119
2609,Jan-10,44422406335,77
2610,Jan-10,79004804765,51
2615,Jan-10,41968497939,84
2618,Jan-10,64269358170,63
2707,Jan-10,32833175760,104
2723,Nov-10,43658666667,80
2801,Jan-10,1.0631E+11,39
2823,Jan-10,39709342899,88
2833,Jan-10,23579169599,128
2834,Jan-10,35984014839,97
2845,Jan-10,23297647293,131
2854,Jan-10,33851053455,103
2855,Jan-10,21525240438,142
2880,Jan-10,1.25766E+11,32
2881,Jan-10,3.12992E+11,12
2882,Jan-10,4.92277E+11,7
2883,Jan-10,1.0184E+11,41
2884,Jan-10,53743287160,71
2885,Jan-10,1.55478E+11,27
2886,Jan-10,2.12113E+11,19
2887,Jan-10,73697143505,57
2888,Jan-10,93339548627,45
2889,Jan-10,22476380270,135
2890,Jan-10,77856471628,53
2891,Jan-10,1.78883E+11,23
2892,Jan-10,1.21713E+11,33
2903,Jan-10,40669518270,86
2912,Jan-10,1.05897E+11,40
2915,Jan-10,58056455642,66
3008,Jan-10,73373614637,58
3009,Jan-10,1.76813E+11,24
3034,Jan-10,55324419129,67
3035,Jan-10,21042714643,147
3037,Jan-10,74533285647,56
3044,Jan-10,54412806041,69
3045,Jan-10,2.40336E+11,16
3189,Jan-10,35234535200,99
3231,Jan-10,1.07639E+11,38
3474,Jan-10,86631086990,49
3481,Jan-10,2.6604E+11,14
3504,Jan-10,24047121063,123
3514,Jan-10,28640403055,116
3532,Jan-10,55283276054,68
3622,Jan-10,42078855338,83
3673,Oct-10,1.40086E+11,30
3697,Dec-10,1.42127E+11,29
3702,Jan-10,58735999988,65
4904,Jan-10,1.32692E+11,31
4938,Jun-10,90402081861,48
5522,Jan-10,49571721532,73
5854,Jan-10,1.16007E+11,35
6005,Jan-10,29445277926,114
6116,Jan-10,34369392959,100
6239,Jan-10,70531319291,59
6286,Jan-10,40715383234,85
6505,Jan-10,7.74518E+11,3
8008,Jan-10,30003415697,109
8046,Jan-10,78466568005,52
9904,Jan-10,75110729914,55
9907,Jan-10,21248077357,145
9917,Jan-10,23189219046,132
9921,Jan-10,37827849186,91
9933,Jan-10,21791779259,140
9945,Jan-10,37890144415,90
1101,Jan-10,1.0064E+11,42
1102,Jan-10,92514047001,46
1216,Jan-10,1.51787E+11,28
1227,Jan-10,23830317465,126
1301,Jan-10,4.55988E+11,8
1303,Jan-10,4.95929E+11,6
1314,Jan-10,33860181881,102
1319,Jan-10,24335706385,121
1326,Jan-10,4.3932E+11,10
1402,Jan-10,1.8176E+11,22
1434,Jan-10,42432659011,82
1440,Jan-10,23530751403,130
1504,Jan-10,28094107278,117
1590,Dec-10,22869999695,133
1605,Jan-10,45886776021,75
1704,Jan-10,34240651194,101
1710,Jan-10,22248538020,137
1717,Jan-10,29730174178,112
1722,Jan-10,99464512000,43
1723,Jan-10,23573038140,129
1802,Jan-10,64927120582,62
1907,Jan-10,21379875486,144
2002,Jan-10,4.24072E+11,11
2006,Jan-10,29930643944,111
2014,Jan-10,23969146100,125
2015,Jan-10,29583985261,113
2101,Jan-10,29968261100,110
2103,Jan-10,30950638642,106
2105,Jan-10,1.21679E+11,34
2201,Jan-10,68537342546,60
2204,Jan-10,31245556319,105
2207,Jan-10,44360454853,78
2227,Jan-10,30204600000,108
2301,Jan-10,90944678556,47
2303,Jan-10,1.97569E+11,20
2308,Jan-10,2.65639E+11,15
2311,Jan-10,1.56837E+11,26
2315,Jan-10,21126899978,146
2317,Jan-10,1.12395E+12,2
2323,Jan-10,23587757254,127
2324,Jan-10,1.71007E+11,25
2325,Jan-10,1.11206E+11,37
2327,Jan-10,29014008753,115
2328,Jan-10,24271529033,122
2330,Jan-10,1.6065E+12,1
2337,Jan-10,64239543958,64
2344,Jan-10,30440192872,107
2347,Jan-10,99441628287,44
2349,Jan-10,22412705201,136
2350,Jan-10,21973908949,139
2352,Jan-10,35686294521,98
2353,Jan-10,2.32604E+11,17
2354,Jan-10,1.13583E+11,36
2356,Jan-10,49436631826,74
2357,Jan-10,1.90693E+11,21
2360,Jan-10,25055245680,120
2362,Jan-10,42825777269,81
2371,Jan-10,37231619653,94
2374,Jan-10,22771467170,134
2379,Jan-10,36827186815,95
2382,Jan-10,2.228E+11,18
2384,Jan-10,44558363364,76
2385,Jan-10,44304737423,79
2388,Jan-10,20719810683,150
2392,Jan-10,27423435446,118
2393,Jan-10,37412769311,93
2395,Jan-10,37560168672,92
2408,Jan-10,81654787834,50
2409,Jan-10,2.85449E+11,13
2412,Jan-10,6.43645E+11,4
2448,Jan-10,76963043692,54
2451,Jan-10,38598944470,89
2454,Jan-10,5.22367E+11,5
2474,Jan-10,52139200306,72
2475,Jan-10,40526457817,87
2489,Jan-10,22076121030,138
2498,Jan-10,4.39859E+11,9
2501,Jan-10,23980716601,124
2504,Jan-10,21414098486,143
2542,Jan-10,36573094727,96
2547,Jan-10,20954486062,148
2548,Jan-10,20860501942,149
2603,Jan-10,66325275169,61
2605,Jan-10,21774233329,141
2606,Jan-10,54130215120,70
2607,Jan-10,27403543009,119
2609,Jan-10,44422406335,77
2610,Jan-10,79004804765,51
2615,Jan-10,41968497939,84
2618,Jan-10,64269358170,63
2707,Jan-10,32833175760,104
2723,Nov-10,43658666667,80
2801,Jan-10,1.0631E+11,39
2823,Jan-10,39709342899,88
2833,Jan-10,23579169599,128
2834,Jan-10,35984014839,97
2845,Jan-10,23297647293,131
2854,Jan-10,33851053455,103
2855,Jan-10,21525240438,142
2880,Jan-10,1.25766E+11,32
2881,Jan-10,3.12992E+11,12
2882,Jan-10,4.92277E+11,7
2883,Jan-10,1.0184E+11,41
2884,Jan-10,53743287160,71
2885,Jan-10,1.55478E+11,27
2886,Jan-10,2.12113E+11,19
2887,Jan-10,73697143505,57
2888,Jan-10,93339548627,45
2889,Jan-10,22476380270,135
2890,Jan-10,77856471628,53
2891,Jan-10,1.78883E+11,23
2892,Jan-10,1.21713E+11,33
2903,Jan-10,40669518270,86
2912,Jan-10,1.05897E+11,40
2915,Jan-10,58056455642,66
3008,Jan-10,73373614637,58
3009,Jan-10,1.76813E+11,24
3034,Jan-10,55324419129,67
3035,Jan-10,21042714643,147
3037,Jan-10,74533285647,56
3044,Jan-10,54412806041,69
3045,Jan-10,2.40336E+11,16
3189,Jan-10,35234535200,99
3231,Jan-10,1.07639E+11,38
3474,Jan-10,86631086990,49
3481,Jan-10,2.6604E+11,14
3504,Jan-10,24047121063,123
3514,Jan-10,28640403055,116
3532,Jan-10,55283276054,68
3622,Jan-10,42078855338,83
3673,Oct-10,1.40086E+11,30
3697,Dec-10,1.42127E+11,29
3702,Jan-10,58735999988,65
4904,Jan-10,1.32692E+11,31
4938,Jun-10,90402081861,48
5522,Jan-10,49571721532,73
5854,Jan-10,1.16007E+11,35
6005,Jan-10,29445277926,114
6116,Jan-10,34369392959,100
6239,Jan-10,70531319291,59
6286,Jan-10,40715383234,85
6505,Jan-10,7.74518E+11,3
8008,Jan-10,30003415697,109
8046,Jan-10,78466568005,52
9904,Jan-10,75110729914,55
9907,Jan-10,21248077357,145
9917,Jan-10,23189219046,132
9921,Jan-10,37827849186,91
9933,Jan-10,21791779259,140
9945,Jan-10,37890144415,90
1101,Jan-10,1.0064E+11,42
1102,Jan-10,92514047001,46
1216,Jan-10,1.51787E+11,28
1227,Jan-10,23830317465,126
1301,Jan-10,4.55988E+11,8
1303,Jan-10,4.95929E+11,6
1314,Jan-10,33860181881,102
1319,Jan-10,24335706385,121
1326,Jan-10,4.3932E+11,10
1402,Jan-10,1.8176E+11,22
1434,Jan-10,42432659011,82
1440,Jan-10,23530751403,130
1504,Jan-10,28094107278,117
1590,Dec-10,22869999695,133
1605,Jan-10,45886776021,75
1704,Jan-10,34240651194,101
1710,Jan-10,22248538020,137
1717,Jan-10,29730174178,112
1722,Jan-10,99464512000,43
1723,Jan-10,23573038140,129
1802,Jan-10,64927120582,62
1907,Jan-10,21379875486,144
2002,Jan-10,4.24072E+11,11
2006,Jan-10,29930643944,111
2014,Jan-10,23969146100,125
2015,Jan-10,29583985261,113
2101,Jan-10,29968261100,110
2103,Jan-10,30950638642,106
2105,Jan-10,1.21679E+11,34
2201,Jan-10,68537342546,60
2204,Jan-10,31245556319,105
2207,Jan-10,44360454853,78
2227,Jan-10,30204600000,108
2301,Jan-10,90944678556,47
2303,Jan-10,1.97569E+11,20
2308,Jan-10,2.65639E+11,15
2311,Jan-10,1.56837E+11,26
2315,Jan-10,21126899978,146
2317,Jan-10,1.12395E+12,2
2323,Jan-10,23587757254,127
2324,Jan-10,1.71007E+11,25
2325,Jan-10,1.11206E+11,37
2327,Jan-10,29014008753,115
2328,Jan-10,24271529033,122
2330,Jan-10,1.6065E+12,1
2337,Jan-10,64239543958,64
2344,Jan-10,30440192872,107
2347,Jan-10,99441628287,44
2349,Jan-10,22412705201,136
2350,Jan-10,21973908949,139
2352,Jan-10,35686294521,98
2353,Jan-10,2.32604E+11,17
2354,Jan-10,1.13583E+11,36
2356,Jan-10,49436631826,74
2357,Jan-10,1.90693E+11,21
2360,Jan-10,25055245680,120
2362,Jan-10,42825777269,81
2371,Jan-10,37231619653,94
2374,Jan-10,22771467170,134
2379,Jan-10,36827186815,95
2382,Jan-10,2.228E+11,18
2384,Jan-10,44558363364,76
2385,Jan-10,44304737423,79
2388,Jan-10,20719810683,150
2392,Jan-10,27423435446,118
2393,Jan-10,37412769311,93
2395,Jan-10,37560168672,92
2408,Jan-10,81654787834,50
2409,Jan-10,2.85449E+11,13
2412,Jan-10,6.43645E+11,4
2448,Jan-10,76963043692,54
2451,Jan-10,38598944470,89
2454,Jan-10,5.22367E+11,5
2474,Jan-10,52139200306,72
2475,Jan-10,40526457817,87
2489,Jan-10,22076121030,138
2498,Jan-10,4.39859E+11,9
2501,Jan-10,23980716601,124
2504,Jan-10,21414098486,143
2542,Jan-10,36573094727,96
2547,Jan-10,20954486062,148
2548,Jan-10,20860501942,149
2603,Jan-10,66325275169,61
2605,Jan-10,21774233329,141
2606,Jan-10,54130215120,70
2607,Jan-10,27403543009,119
2609,Jan-10,44422406335,77
2610,Jan-10,79004804765,51
2615,Jan-10,41968497939,84
2618,Jan-10,64269358170,63
2707,Jan-10,32833175760,104
2723,Nov-10,43658666667,80
2801,Jan-10,1.0631E+11,39
2823,Jan-10,39709342899,88
2833,Jan-10,23579169599,128
2834,Jan-10,35984014839,97
2845,Jan-10,23297647293,131
2854,Jan-10,33851053455,103
2855,Jan-10,21525240438,142
2880,Jan-10,1.25766E+11,32
2881,Jan-10,3.12992E+11,12
2882,Jan-10,4.92277E+11,7
2883,Jan-10,1.0184E+11,41
2884,Jan-10,53743287160,71
2885,Jan-10,1.55478E+11,27
2886,Jan-10,2.12113E+11,19
2887,Jan-10,73697143505,57
2888,Jan-10,93339548627,45
2889,Jan-10,22476380270,135
2890,Jan-10,77856471628,53
2891,Jan-10,1.78883E+11,23
2892,Jan-10,1.21713E+11,33
2903,Jan-10,40669518270,86
2912,Jan-10,1.05897E+11,40
2915,Jan-10,58056455642,66
3008,Jan-10,73373614637,58
3009,Jan-10,1.76813E+11,24
3034,Jan-10,55324419129,67
3035,Jan-10,21042714643,147
3037,Jan-10,74533285647,56
3044,Jan-10,54412806041,69
3045,Jan-10,2.40336E+11,16
3189,Jan-10,35234535200,99
3231,Jan-10,1.07639E+11,38
3474,Jan-10,86631086990,49
3481,Jan-10,2.6604E+11,14
3504,Jan-10,24047121063,123
3514,Jan-10,28640403055,116
3532,Jan-10,55283276054,68
3622,Jan-10,42078855338,83
3673,Oct-10,1.40086E+11,30
3697,Dec-10,1.42127E+11,29
3702,Jan-10,58735999988,65
4904,Jan-10,1.32692E+11,31
4938,Jun-10,90402081861,48
5522,Jan-10,49571721532,73
5854,Jan-10,1.16007E+11,35
6005,Jan-10,29445277926,114
6116,Jan-10,34369392959,100
6239,Jan-10,70531319291,59
6286,Jan-10,40715383234,85
6505,Jan-10,7.74518E+11,3
8008,Jan-10,30003415697,109
8046,Jan-10,78466568005,52
9904,Jan-10,75110729914,55
9907,Jan-10,21248077357,145
9917,Jan-10,23189219046,132
9921,Jan-10,37827849186,91
9933,Jan-10,21791779259,140
9945,Jan-10,37890144415,90
1101,Jan-10,1.0064E+11,42
1102,Jan-10,92514047001,46
1216,Jan-10,1.51787E+11,28
1227,Jan-10,23830317465,126
1301,Jan-10,4.55988E+11,8
1303,Jan-10,4.95929E+11,6
1314,Jan-10,33860181881,102
1319,Jan-10,24335706385,121
1326,Jan-10,4.3932E+11,10
1402,Jan-10,1.8176E+11,22
1434,Jan-10,42432659011,82
1440,Jan-10,23530751403,130
1504,Jan-10,28094107278,117
1590,Dec-10,22869999695,133
1605,Jan-10,45886776021,75
1704,Jan-10,34240651194,101
1710,Jan-10,22248538020,137
1717,Jan-10,29730174178,112
1722,Jan-10,99464512000,43
1723,Jan-10,23573038140,129
1802,Jan-10,64927120582,62
1907,Jan-10,21379875486,144
2002,Jan-10,4.24072E+11,11
2006,Jan-10,29930643944,111
2014,Jan-10,23969146100,125
2015,Jan-10,29583985261,113
2101,Jan-10,29968261100,110
2103,Jan-10,30950638642,106
2105,Jan-10,1.21679E+11,34
2201,Jan-10,68537342546,60
2204,Jan-10,31245556319,105
2207,Jan-10,44360454853,78
2227,Jan-10,30204600000,108
2301,Jan-10,90944678556,47
2303,Jan-10,1.97569E+11,20
2308,Jan-10,2.65639E+11,15
2311,Jan-10,1.56837E+11,26
2315,Jan-10,21126899978,146
2317,Jan-10,1.12395E+12,2
2323,Jan-10,23587757254,127
2324,Jan-10,1.71007E+11,25
2325,Jan-10,1.11206E+11,37
2327,Jan-10,29014008753,115
2328,Jan-10,24271529033,122
2330,Jan-10,1.6065E+12,1
2337,Jan-10,64239543958,64
2344,Jan-10,30440192872,107
2347,Jan-10,99441628287,44
2349,Jan-10,22412705201,136
2350,Jan-10,21973908949,139
2352,Jan-10,35686294521,98
2353,Jan-10,2.32604E+11,17
2354,Jan-10,1.13583E+11,36
2356,Jan-10,49436631826,74
2357,Jan-10,1.90693E+11,21
2360,Jan-10,25055245680,120
2362,Jan-10,42825777269,81
2371,Jan-10,37231619653,94
2374,Jan-10,22771467170,134
2379,Jan-10,36827186815,95
2382,Jan-10,2.228E+11,18
2384,Jan-10,44558363364,76
2385,Jan-10,44304737423,79
2388,Jan-10,20719810683,150
2392,Jan-10,27423435446,118
2393,Jan-10,37412769311,93
2395,Jan-10,37560168672,92
2408,Jan-10,81654787834,50
2409,Jan-10,2.85449E+11,13
2412,Jan-10,6.43645E+11,4
2448,Jan-10,76963043692,54
2451,Jan-10,38598944470,89
2454,Jan-10,5.22367E+11,5
2474,Jan-10,52139200306,72
2475,Jan-10,40526457817,87
2489,Jan-10,22076121030,138
2498,Jan-10,4.39859E+11,9
2501,Jan-10,23980716601,124
2504,Jan-10,21414098486,143
2542,Jan-10,36573094727,96
2547,Jan-10,20954486062,148
2548,Jan-10,20860501942,149
2603,Jan-10,66325275169,61
2605,Jan-10,21774233329,141
2606,Jan-10,54130215120,70
2607,Jan-10,27403543009,119
2609,Jan-10,44422406335,77
2610,Jan-10,79004804765,51
2615,Jan-10,41968497939,84
2618,Jan-10,64269358170,63
2707,Jan-10,32833175760,104
2723,Nov-10,43658666667,80
2801,Jan-10,1.0631E+11,39
2823,Jan-10,39709342899,88
2833,Jan-10,23579169599,128
2834,Jan-10,35984014839,97
2845,Jan-10,23297647293,131
2854,Jan-10,33851053455,103
2855,Jan-10,21525240438,142
2880,Jan-10,1.25766E+11,32
2881,Jan-10,3.12992E+11,12
2882,Jan-10,4.92277E+11,7
2883,Jan-10,1.0184E+11,41
2884,Jan-10,53743287160,71
2885,Jan-10,1.55478E+11,27
2886,Jan-10,2.12113E+11,19
2887,Jan-10,73697143505,57
2888,Jan-10,93339548627,45
2889,Jan-10,22476380270,135
2890,Jan-10,77856471628,53
2891,Jan-10,1.78883E+11,23
2892,Jan-10,1.21713E+11,33
2903,Jan-10,40669518270,86
2912,Jan-10,1.05897E+11,40
2915,Jan-10,58056455642,66
3008,Jan-10,73373614637,58
3009,Jan-10,1.76813E+11,24
3034,Jan-10,55324419129,67
3035,Jan-10,21042714643,147
3037,Jan-10,74533285647,56
3044,Jan-10,54412806041,69
3045,Jan-10,2.40336E+11,16
3189,Jan-10,35234535200,99
3231,Jan-10,1.07639E+11,38
3474,Jan-10,86631086990,49
3481,Jan-10,2.6604E+11,14
3504,Jan-10,24047121063,123
3514,Jan-10,28640403055,116
3532,Jan-10,55283276054,68
3622,Jan-10,42078855338,83
3673,Oct-10,1.40086E+11,30
3697,Dec-10,1.42127E+11,29
3702,Jan-10,58735999988,65
4904,Jan-10,1.32692E+11,31
4938,Jun-10,90402081861,48
5522,Jan-10,49571721532,73
5854,Jan-10,1.16007E+11,35
6005,Jan-10,29445277926,114
6116,Jan-10,34369392959,100
6239,Jan-10,70531319291,59
6286,Jan-10,40715383234,85
6505,Jan-10,7.74518E+11,3
8008,Jan-10,30003415697,109
8046,Jan-10,78466568005,52
9904,Jan-10,75110729914,55
9907,Jan-10,21248077357,145
9917,Jan-10,23189219046,132
9921,Jan-10,37827849186,91
9933,Jan-10,21791779259,140
9945,Jan-10,37890144415,90
1101,Jan-10,1.0064E+11,42
1102,Jan-10,92514047001,46
1216,Jan-10,1.51787E+11,28
1227,Jan-10,23830317465,126
1301,Jan-10,4.55988E+11,8
1303,Jan-10,4.95929E+11,6
1314,Jan-10,33860181881,102
1319,Jan-10,24335706385,121
1326,Jan-10,4.3932E+11,10
1402,Jan-10,1.8176E+11,22
1434,Jan-10,42432659011,82
1440,Jan-10,23530751403,130
1504,Jan-10,28094107278,117
1590,Dec-10,22869999695,133
1605,Jan-10,45886776021,75
1704,Jan-10,34240651194,101
1710,Jan-10,22248538020,137
