combination,remark,count,mean_avg_monthly_return
201001-201007,loser,88,-0.012046901550454627
201001-201007,winner,88,-0.0010268609736996948
201001-201007,winner - loser,-,0.011020040576754932
201002-201008,loser,82,-0.019879719790171724
201002-201008,winner,82,-0.011871091713193182
201002-201008,winner - loser,-,0.008008628076978542
201003-201009,loser,87,-0.03522510233109627
201003-201009,winner,87,-0.019013829354324087
201003-201009,winner - loser,-,0.016211272976772183
201004-201010,loser,95,-0.04144571177588676
201004-201010,winner,94,-0.028754703131133277
201004-201010,winner - loser,-,0.012691008644753483
201005-201011,loser,89,-0.03705598433710614
201005-201011,winner,91,-0.016977472247282657
201005-201011,winner - loser,-,0.020078512089823485
201006-201012,loser,89,-0.04092780962286463
201006-201012,winner,90,-0.03368074450808877
201006-201012,winner - loser,-,0.007247065114775859
201007-201101,loser,89,-0.04804246208199005
201007-201101,winner,93,-0.02700800227925814
201007-201101,winner - loser,-,0.021034459802731907
201008-201102,loser,95,-0.040306123278213014
201008-201102,winner,96,-0.02362146693549243
201008-201102,winner - loser,-,0.016684656342720584
201009-201103,loser,96,-0.01977207488126825
201009-201103,winner,97,-0.012164802373114444
201009-201103,winner - loser,-,0.0076072725081538055
201010-201104,loser,99,-0.02785307161868392
201010-201104,winner,98,-0.020793003661513362
201010-201104,winner - loser,-,0.007060067957170558
201011-201105,loser,95,-0.032418215568569546
201011-201105,winner,96,-0.02622240483200484
201011-201105,winner - loser,-,0.006195810736564705
201012-201106,loser,101,-0.03561247765465516
201012-201106,winner,101,-0.023827111484355724
201012-201106,winner - loser,-,0.011785366170299436
201101-201107,loser,109,-0.030175035512132943
201101-201107,winner,109,-0.019232906925472398
201101-201107,winner - loser,-,0.010942128586660545
201102-201108,loser,108,-0.02895206875634637
201102-201108,winner,108,-0.023035229906036243
201102-201108,winner - loser,-,0.005916838850310125
201103-201109,loser,105,-0.013236437328674718
201103-201109,winner,106,-0.005094702545576989
201103-201109,winner - loser,-,0.008141734783097728
201104-201110,loser,108,-0.0004692535343053116
